,Payment_ID,Card_ID,Customer_ID,Billing_Month,Bill_Amount,Minimum_Due,Amount_Paid,Payment_Date,Payment_Status,Late_Fee
69,P0000070,CC02652,C02917,2025-03,7781.5,389.08,389.08,2025-04-29,PARTIAL,750
70,P0000071,CC02072,C02823,2026-02,9310.14,465.51,10241.15,2026-02-22,Paid,750
71,P0000072,CC00820,C00788,2026-02,4459.93,223.0,4905.92,2026-02-17,Paid,500
72,P0000073,CC01067,C02296,2025-01,3696.18,184.81,184.81,2025-03-01,PARTIAL,250
73,P0000074,CC00919,C02729,2025-01,3771.99,188.6,0.0,2025-01-13,MISSED,0
74,P0000075,CC00995,C02915,2025-07,12842.23,642.11,3852.67,2025-08-29,PARTIAL,500
75,P0000076,CC02503,C00645,2026-01,3577.72,178.89,0.0,2026-03-01,MISSED,750
76,P0000077,CC02557,C02068,2025-11,13430.84,671.54,13430.84,2025-11-10,Paid,0
77,P0000078,CC03021,C03097,2025-08,51481.27,2574.06,56629.4,2025-08-13,Paid,0
78,P0000079,CC03157,C01040,2026-02,7962.74,398.14,0.0,2026-02-17,MISSED,500
79,P0000080,CC02469,C03501,2026-02,14838.46,741.92,741.92,2026-02-03,PARTIAL,250
80,P0000081,CC00835,C01609,2025-03,2529.11,126.46,2782.02,2025-03-30,Paid,100
81,P0000082,CC02901,C04023,2025-08,44493.95,2224.7,48943.35,2025-08-13,Paid,0
82,P0000083,CC00817,C04615,2025-07,3471.22,173.56,0.0,2025-07-22,MISSED,100
83,P0000084,CC03115,C04009,2026-04,10735.61,536.78,11809.17,2026-05-15,Paid,500
84,P0000085,CC00272,C02221,2025-08,19320.28,966.01,966.01,2025-08-13,PARTIAL,0
85,P0000086,CC00292,C00468,2026-02,15412.66,770.63,16953.93,2026-03-17,Paid,100
86,P0000087,CC02501,C01980,2026-05,17785.03,889.25,889.25,2026-06-14,PARTIAL,500
87,P0000088,CC00754,C03871,2025-01,10976.54,548.83,7683.58,2025-01-15,PARTIAL,0
88,P0000089,CC01257,C00105,2025-04,3860.58,193.03,2702.41,2025-05-15,PARTIAL,500
89,P0000090,CC01767,C04332,2026-04,25476.44,1273.82,7642.93,2026-04-17,PARTIAL,100
90,P0000091,CC02621,C00916,2025-06,27314.62,1365.73,1365.73,2025-06-15,PARTIAL,0
91,P0000092,CC00857,C00306,2025-04,17004.62,850.23,850.23,2025-04-13,PARTIAL,0
92,P0000093,CC00599,C00064,2025-08,14217.26,710.86,9952.08,2025-09-14,PARTIAL,250
93,P0000094,CC02536,C03479,2025-12,73003.17,3650.16,0.0,2025-12-17,MISSED,250
94,P0000095,CC02197,C04280,2025-08,4214.78,210.74,2950.35,2025-09-14,PARTIAL,250
95,P0000096,CC00041,C02099,2026-04,5134.07,256.7,0.0,2026-04-17,MISSED,100
96,P0000097,CC00215,C01144,2025-01,30558.19,1527.91,9167.46,2025-01-22,PARTIAL,500
97,P0000098,CC02737,C03704,2025-01,31347.77,1567.39,21943.44,2025-01-13,PARTIAL,0
98,P0000099,CC02391,C01553,2025-02,35361.8,1768.09,38897.98,2025-02-15,Paid,0
99,P0000100,CC00203,C04440,2026-01,3979.68,198.98,4377.65,2026-01-03,Paid,750
100,P0000101,CC01788,C04249,2025-02,3365.83,168.29,3365.83,2025-02-22,Paid,100
101,P0000102,CC00883,C02613,2026-03,12300.21,615.01,8610.15,2026-03-30,PARTIAL,500
102,P0000103,CC01207,C03001,2025-09,10488.96,524.45,7342.27,2025-09-13,PARTIAL,0
103,P0000104,CC02540,C03140,2026-01,42697.77,2134.89,46967.55,2026-01-10,Paid,0
104,P0000105,CC02907,C03459,2025-12,16985.98,849.3,849.3,2025-12-13,PARTIAL,0
105,P0000106,CC00099,C04801,2025-11,4213.19,210.66,1263.96,2025-12-15,PARTIAL,250
106,P0000107,CC03035,C04025,2025-08,39725.1,1986.26,27807.57,2025-09-14,PARTIAL,250
107,P0000108,CC02693,C04467,2026-01,23638.96,1181.95,0.0,2026-01-13,MISSED,0
108,P0000109,CC02327,C04613,2026-04,25315.22,1265.76,7594.57,2026-04-30,PARTIAL,500
109,P0000110,CC03386,C03006,2025-06,2651.09,132.55,795.33,2025-06-22,PARTIAL,100
110,P0000111,CC02339,C03498,2025-10,8401.0,420.05,5880.7,2025-10-22,PARTIAL,250
111,P0000112,CC00500,C01731,2026-05,18609.83,930.49,0.0,2026-05-10,MISSED,0
112,P0000113,CC01184,C00811,2025-10,20489.44,1024.47,6146.83,2025-10-15,PARTIAL,0
113,P0000114,CC01155,C02254,2025-02,2188.54,109.43,0.0,2025-02-22,MISSED,750
114,P0000115,CC00458,C03913,2025-09,18896.17,944.81,0.0,2025-09-17,MISSED,500
115,P0000116,CC00941,C00002,2025-09,9853.54,492.68,10838.89,2025-10-15,Paid,100
116,P0000117,CC02782,C04493,2026-06,2689.63,134.48,806.89,2026-06-13,PARTIAL,0
117,P0000118,CC00395,C03259,2025-11,21140.05,1057.0,14798.03,2025-11-22,PARTIAL,250
118,P0000119,CC02141,C04539,2026-06,18192.95,909.65,5457.89,2026-06-22,PARTIAL,750
119,P0000120,CC02876,C03301,2025-06,73384.13,3669.21,51368.89,2025-06-15,PARTIAL,0
120,P0000121,CC03103,C00319,2025-10,44793.42,2239.67,2239.67,2025-10-15,PARTIAL,0
121,P0000122,CC01966,C02300,2025-01,56056.36,2802.82,39239.45,2025-01-17,PARTIAL,750
122,P0000123,CC00098,C03128,2026-04,14505.76,725.29,4351.73,2026-05-30,PARTIAL,750
123,P0000124,CC02819,C04968,2026-05,12403.1,620.16,12403.1,2026-06-29,Paid,250
124,P0000125,CC00599,C00064,2025-08,4933.24,246.66,246.66,2025-08-15,PARTIAL,0
125,P0000126,CC01346,C01993,2025-12,9148.82,457.44,6404.17,2025-12-22,PARTIAL,100
126,P0000127,CC02023,C04884,2026-02,9642.52,482.13,0.0,2026-02-17,MISSED,500
127,P0000128,CC00130,C01368,2025-10,9860.22,493.01,10846.24,2025-10-15,Paid,0
128,P0000129,CC02791,C01422,2025-03,14438.62,721.93,721.93,2025-04-29,PARTIAL,750
129,P0000130,CC00146,C04162,2025-12,1305.81,65.29,1305.81,2025-12-10,Paid,0
130,P0000131,CC03006,C00864,2025-08,62084.45,3104.22,62084.45,2025-08-30,Paid,100
131,P0000132,CC02103,C01414,2025-11,56003.12,2800.16,39202.18,2025-12-15,PARTIAL,100
132,P0000133,CC00274,C01955,2025-02,20269.4,1013.47,22296.34,2025-02-17,Paid,250
133,P0000134,CC00147,C03062,2025-04,13026.9,651.35,0.0,2025-04-13,MISSED,0
134,P0000135,CC02228,C01438,2025-09,9130.65,456.53,2739.19,2025-09-22,PARTIAL,250
135,P0000136,CC03238,C02259,2025-06,5360.15,268.01,3752.1,2025-07-15,PARTIAL,750
136,P0000137,CC02418,C03537,2025-06,22905.69,1145.28,25196.26,2025-07-15,Paid,500
137,P0000138,CC00118,C01761,2026-05,23917.76,1195.89,16742.43,2026-06-14,PARTIAL,750
138,P0000139,CC01864,C03481,2025-06,5348.68,267.43,1604.6,2025-07-15,PARTIAL,750
139,P0000140,CC01774,C04609,2026-04,1961.46,98.07,588.44,2026-04-13,PARTIAL,0
140,P0000141,CC01192,C03063,2026-02,27308.74,1365.44,1365.44,2026-02-15,PARTIAL,0
141,P0000142,CC00209,C02709,2026-03,13824.39,691.22,691.22,2026-03-13,PARTIAL,0
142,P0000143,CC01477,C01185,2025-02,99699.86,4984.99,4984.99,2025-02-17,PARTIAL,250
143,P0000144,CC01664,C01340,2025-07,38849.43,1942.47,27194.6,2025-08-14,PARTIAL,750
144,P0000145,CC02231,C03690,2025-10,13968.96,698.45,13968.96,2025-10-22,Paid,500
145,P0000146,CC02688,C04131,2026-06,6235.9,311.8,1870.77,2026-06-17,PARTIAL,500
146,P0000147,CC01574,C01484,2026-03,20132.04,1006.6,14092.43,2026-03-15,PARTIAL,0
147,P0000148,CC01376,C00290,2025-05,7074.87,353.74,4952.41,2025-05-15,PARTIAL,0
148,P0000149,CC01424,C02750,2025-05,4903.81,245.19,0.0,2025-06-29,MISSED,750
149,P0000150,CC00707,C03266,2025-12,29348.91,1467.45,1467.45,2025-12-22,PARTIAL,250
150,P0000151,CC01267,C03602,2025-07,20561.35,1028.07,6168.4,2025-07-22,PARTIAL,100
151,P0000152,CC00460,C02922,2025-01,10206.55,510.33,10206.55,2025-01-15,Paid,0
152,P0000153,CC02511,C02719,2025-05,24180.61,1209.03,16926.43,2025-06-14,PARTIAL,500
153,P0000154,CC03134,C02813,2025-01,23953.01,1197.65,23953.01,2025-01-13,Paid,0
154,P0000155,CC02603,C04645,2026-02,9042.89,452.14,452.14,2026-02-22,PARTIAL,250
155,P0000156,CC02240,C00255,2025-04,22429.16,1121.46,0.0,2025-04-10,MISSED,0
156,P0000157,CC03031,C02622,2025-12,23516.32,1175.82,7054.9,2025-12-30,PARTIAL,750
157,P0000158,CC00882,C04691,2025-10,2670.81,133.54,0.0,2025-11-14,MISSED,750
158,P0000159,CC00755,C04227,2025-03,3541.89,177.09,3896.08,2025-03-22,Paid,500
159,P0000160,CC03360,C01092,2026-01,5965.36,298.27,0.0,2026-01-10,MISSED,0
160,P0000161,CC03041,C00614,2026-03,22448.56,1122.43,15713.99,2026-03-13,PARTIAL,0
161,P0000162,CC01804,C03937,2025-09,17486.01,874.3,17486.01,2025-09-22,Paid,100
162,P0000163,CC02133,C00060,2025-07,71002.31,3550.12,71002.31,2025-08-29,Paid,250
163,P0000164,CC01649,C03473,2025-03,21114.05,1055.7,1055.7,2025-03-17,PARTIAL,750
164,P0000165,CC03062,C04804,2025-06,9330.72,466.54,10263.79,2025-06-15,Paid,0
165,P0000166,CC02536,C03479,2026-01,22498.2,1124.91,0.0,2026-01-15,MISSED,0
166,P0000167,CC03166,C03629,2026-03,8951.65,447.58,2685.49,2026-03-13,PARTIAL,0
167,P0000168,CC02453,C01289,2026-02,42041.28,2102.06,12612.38,2026-02-13,PARTIAL,0
168,P0000169,CC00484,C03040,2025-11,9242.62,462.13,462.13,2025-11-10,PARTIAL,0
169,P0000170,CC00602,C01603,2026-03,21018.33,1050.92,0.0,2026-03-30,MISSED,500
170,P0000171,CC03280,C03708,2026-05,7016.27,350.81,4911.39,2026-05-10,PARTIAL,0
171,P0000172,CC01125,C02280,2025-12,16015.28,800.76,4804.58,2025-12-15,PARTIAL,0
172,P0000173,CC02375,C00155,2025-01,18368.44,918.42,20205.28,2025-01-22,Paid,250
173,P0000174,CC03385,C03553,2026-02,23558.33,1177.92,25914.16,2026-04-01,Paid,250
174,P0000175,CC00508,C01471,2026-05,1540.84,77.04,462.25,2026-06-29,PARTIAL,250
175,P0000176,CC01650,C01688,2025-04,172151.8,8607.59,120506.26,2025-04-10,PARTIAL,0
176,P0000177,CC01249,C03723,2025-02,3768.89,188.44,188.44,2025-10-02,PARTIAL,0
177,P0000178,CC01314,C04052,2026-03,6472.71,323.64,4530.9,2026-03-15,PARTIAL,0
178,P0000179,CC00358,C04430,2025-05,3178.86,158.94,3178.86,2025-05-17,Paid,250
179,P0000180,CC01761,C02102,2025-03,2134.6,106.73,106.73,2025-03-17,PARTIAL,100
180,P0000181,CC03357,C00093,2025-05,6974.29,348.71,7671.72,2025-06-29,Paid,250
181,P0000182,CC02025,C04780,2025-03,9070.88,453.54,0.0,2025-03-17,MISSED,250
182,P0000183,CC00541,C02062,2026-04,27654.87,1382.74,30420.36,2026-05-15,Paid,250
183,P0000184,CC00206,C01556,2025-06,18698.32,934.92,5609.5,2025-06-30,PARTIAL,250
184,P0000185,CC00007,C01879,2026-06,12531.48,626.57,8772.04,2026-06-15,PARTIAL,0
185,P0000186,CC01477,C01185,2025-10,36842.35,1842.12,11052.7,2025-10-22,PARTIAL,100
186,P0000187,CC03372,C00476,2026-06,6640.57,332.03,332.03,2026-06-30,PARTIAL,500
187,P0000188,CC01790,C04742,2026-05,7096.5,354.83,7806.15,2026-05-17,Paid,250
188,P0000189,CC01810,C02486,2026-04,11550.8,577.54,3465.24,2026-04-22,PARTIAL,100
189,P0000190,CC01317,C03715,2025-08,5280.59,264.03,3696.41,2025-08-22,PARTIAL,500
190,P0000191,CC00940,C01988,2025-11,14574.59,728.73,4372.38,2025-11-13,PARTIAL,0
191,P0000192,CC03324,C00372,2026-06,8873.52,443.68,2662.06,2026-06-30,PARTIAL,750
192,P0000193,CC00715,C03807,2026-06,22032.07,1101.6,-2000.0,2026-06-17,MISSED,100
193,P0000194,CC02199,C02755,2026-06,16521.28,826.06,4956.38,2026-07-30,PARTIAL,500
194,P0000195,CC00580,C04239,2025-09,8256.06,412.8,2476.82,2025-09-15,PARTIAL,0
195,P0000196,CC02243,C04338,2025-03,49200.12,2460.01,34440.08,2025-03-13,PARTIAL,0
196,P0000197,CC02303,C00731,2025-03,5684.85,284.24,6253.34,2025-03-13,Paid,0
197,P0000198,CC00853,C03525,2025-07,17939.96,897.0,19733.96,2025-08-29,Paid,500
198,P0000199,CC00308,C03516,2026-02,7969.7,398.49,8766.67,2026-03-02,Paid,750
199,P0000200,CC02169,C02380,2025-05,68311.41,3415.57,68311.41,2025-06-14,Paid,750
200,P0000201,CC00641,C01228,2026-04,44776.84,2238.84,0.0,2026-05-15,MISSED,250
201,P0000202,CC02876,C03301,2025-10,13893.09,694.65,9725.16,2025-10-13,PARTIAL,0
202,P0000203,CC00758,C01187,2025-02,8552.27,427.61,427.61,2025-02-13,PARTIAL,0
203,P0000204,CC00714,C02047,2025-06,12279.88,613.99,8595.92,2025-06-22,PARTIAL,500
204,P0000205,CC03129,C04473,2025-04,15908.41,795.42,0.0,2025-04-17,MISSED,250
205,P0000206,CC00768,C01068,2026-02,28490.02,1424.5,8547.01,2026-02-13,PARTIAL,0
206,P0000207,CC01103,C00068,2025-11,8850.14,442.51,6195.1,2025-11-17,PARTIAL,100
207,P0000208,CC01581,C04056,2025-08,9343.7,467.19,467.19,2025-08-30,PARTIAL,750
208,P0000209,CC02088,C00096,2025-09,14679.0,733.95,14679.0,2025-09-15,Paid,0
209,P0000210,CC01118,C02336,2025-02,23811.82,1190.59,7143.55,2025-02-13,PARTIAL,0
210,P0000211,CC01785,C04957,2025-12,14506.49,725.32,0.0,2025-12-10,MISSED,0
211,P0000212,CC03274,C03970,2025-09,8199.83,409.99,9019.81,2025-10-15,Paid,100
212,P0000213,CC02814,C02808,2025-10,4579.91,229.0,229.0,2025-10-17,PARTIAL,500
213,P0000214,CC00794,C01073,2025-08,8504.93,425.25,425.25,2025-08-22,PARTIAL,750
214,P0000215,CC00658,C03070,2026-04,36043.4,1802.17,36043.4,2026-05-30,Paid,750
215,P0000216,CC00227,C04464,2026-02,22528.37,1126.42,6758.51,2026-02-17,PARTIAL,100
216,P0000217,CC00645,C04079,2025-08,2504.64,125.23,751.39,2025-09-14,PARTIAL,750
217,P0000218,CC00009,C03801,2026-01,9933.04,496.65,2979.91,2026-03-01,PARTIAL,750
218,P0000219,CC01746,C00685,2025-06,13538.5,676.93,676.93,2025-07-30,PARTIAL,750
219,P0000220,CC00751,C00274,2025-04,54391.55,2719.58,0.0,2025-04-17,MISSED,100
220,P0000221,CC01537,C02035,2026-04,15827.04,791.35,11078.93,2026-05-30,PARTIAL,750
221,P0000222,CC02830,C00717,2026-01,24396.87,1219.84,1219.84,2026-01-10,PARTIAL,0
222,P0000223,CC01153,C01545,2025-05,7580.95,379.05,0.0,2025-05-15,MISSED,0
223,P0000224,CC02097,C03577,2026-05,9675.25,483.76,0.0,2026-05-17,MISSED,500
224,P0000225,CC00951,C04952,2026-03,51073.63,2553.68,15322.09,2026-04-29,PARTIAL,250
225,P0000226,CC00272,C02221,2025-12,7423.9,371.19,371.19,2026-01-14,PARTIAL,750
226,P0000227,CC01504,C02803,2026-05,31575.78,1578.79,1578.79,2026-05-15,PARTIAL,0
227,P0000228,CC00273,C04121,2025-04,24282.69,1214.13,1214.13,2025-04-13,PARTIAL,0
228,P0000229,CC01201,C02071,2025-07,35700.85,1785.04,35700.85,2025-07-15,Paid,0
229,P0000230,CC00601,C04260,2025-08,11071.87,553.59,553.59,2025-08-15,PARTIAL,0
230,P0000231,CC00607,C02070,2026-02,37584.55,1879.23,0.0,2026-03-02,MISSED,100
231,P0000232,CC01397,C02563,2026-04,53720.51,2686.03,2686.03,2026-04-10,PARTIAL,0
232,P0000233,CC01980,C02385,2026-02,14345.62,717.28,717.28,2026-02-17,PARTIAL,100
233,P0000234,CC03092,C02651,2025-12,47515.25,2375.76,14254.57,2025-12-10,PARTIAL,0
234,P0000235,CC02454,C00204,2025-02,10478.07,523.9,0.0,2025-02-17,MISSED,500
235,P0000236,CC00034,C01392,2025-11,30435.89,1521.79,1521.79,2025-12-15,PARTIAL,250
236,P0000237,CC00535,C00157,2025-03,13109.97,655.5,3932.99,2025-03-10,PARTIAL,0
237,P0000238,CC03096,C04753,2025-08,8766.45,438.32,0.0,2025-08-30,MISSED,250
238,P0000239,CC00812,C03221,2026-03,19235.2,961.76,13464.64,2026-03-13,PARTIAL,0
239,P0000240,CC00072,C03972,2025-01,6068.69,303.43,303.43,2025-01-17,PARTIAL,100
240,P0000241,CC02788,C03064,2025-03,2359.96,118.0,118.0,2025-04-14,PARTIAL,100
241,P0000242,CC01305,C00228,2025-05,13616.72,680.84,4085.02,2025-05-22,PARTIAL,500
242,P0000243,CC02373,C03748,2026-05,9966.78,498.34,9966.78,2026-05-17,Paid,100
243,P0000244,CC00904,C00659,2025-10,3179.85,158.99,0.0,2025-11-29,MISSED,500
244,P0000245,CC02219,C01371,2026-03,23322.67,1166.13,16325.87,2026-03-17,PARTIAL,250
245,P0000246,CC01894,C04110,2025-03,30975.35,1548.77,1548.77,2025-03-10,PARTIAL,0
246,P0000247,CC02981,C02408,2025-10,2487.2,124.36,746.16,2025-10-30,PARTIAL,750
247,P0000248,CC00387,C03483,2026-03,19331.34,966.57,0.0,2026-03-22,MISSED,250
248,P0000249,CC00205,C03378,2026-04,7237.72,361.89,5066.4,2026-04-30,PARTIAL,250
249,P0000250,CC02176,C00022,2026-05,46821.48,2341.07,51503.63,2026-06-29,Paid,750
250,P0000251,CC01617,C01405,2025-10,3293.88,164.69,3623.27,2025-10-17,Paid,500
251,P0000252,CC00300,C01655,2026-04,7322.02,366.1,2196.61,2026-04-15,PARTIAL,0
252,P0000253,CC02981,C02408,2025-11,33129.64,1656.48,0.0,2025-11-22,MISSED,750
253,P0000254,CC02678,C01873,2025-05,15881.52,794.08,0.0,2025-05-17,MISSED,250
254,P0000255,CC01073,C03666,2025-12,8521.71,426.09,5965.2,2025-12-30,PARTIAL,750
255,P0000256,CC02602,C01689,2026-02,23619.29,1180.96,23619.29,2026-10-02,Paid,0
256,P0000257,CC01688,C04538,2026-02,21951.24,1097.56,0.0,2026-02-15,MISSED,0
257,P0000258,CC00006,C01498,2025-07,47064.28,2353.21,2353.21,2025-07-17,PARTIAL,100
258,P0000259,CC03265,C01877,2025-06,21585.88,1079.29,0.0,2025-06-10,MISSED,0
259,P0000260,CC01750,C04059,2025-10,4870.64,243.53,243.53,2025-11-14,PARTIAL,250
260,P0000261,CC00332,C01760,2025-05,25911.02,1295.55,25911.02,2025-05-10,Paid,0
261,P0000262,CC03206,C03101,2026-05,10920.65,546.03,546.03,2026-06-29,PARTIAL,500
262,P0000263,CC00854,C00538,2026-06,17080.92,854.05,854.05,2026-06-17,PARTIAL,750
263,P0000264,CC02846,C01769,2025-03,40595.46,2029.77,2029.77,2025-04-29,PARTIAL,100
264,P0000265,CC01120,C04470,2026-05,18880.9,944.05,20768.99,2026-05-10,Paid,0
265,P0000266,CC02802,C00585,2025-09,5598.5,279.93,6158.35,2025-10-09,Paid,0
266,P0000267,CC01897,C04836,2026-01,31504.95,1575.25,34655.45,2026-01-15,Paid,0
267,P0000268,CC02254,C04469,2025-01,9278.42,463.92,0.0,2025-03-01,MISSED,100
268,P0000269,CC01871,C01133,2026-03,2407.28,120.36,2407.28,2026-04-14,Paid,500
269,P0000270,CC02760,C04304,2025-03,4076.36,203.82,203.82,2025-03-17,PARTIAL,100
270,P0000271,CC03228,C01207,2025-12,7517.53,375.88,7517.53,2025-12-10,Paid,0
271,P0000272,CC01483,C03201,2026-02,27412.11,1370.61,27412.11,2026-03-02,Paid,500
272,P0000273,CC01367,C02916,2026-04,4771.88,238.59,1431.56,2026-05-15,PARTIAL,750
273,P0000274,CC00586,C04037,2025-11,30379.02,1518.95,21265.31,2025-11-13,PARTIAL,0
274,P0000275,CC02189,C00875,2025-04,46147.86,2307.39,0.0,2025-04-10,MISSED,0
275,P0000276,CC02593,C03299,2025-08,9000.15,450.01,2700.04,2025-10-08,PARTIAL,0
276,P0000277,CC03127,C04861,2025-08,23536.47,1176.82,25890.12,2025-09-29,Paid,250
