,Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Disbursement_Date,EMI,Outstanding_Principal,Days_Past_Due,Loan_Status,Branch_ID
70,L000071,C04287,Education Loan,1851075.0,16.76,48,2024-08-17,53183.28,1691525.16,0,Active,BR007
71,L000072,C02932,Auto Loan,8823489.0,17.15,48,2021-10-16,255287.41,0.0,60,Active,BR022
72,L000073,C02848,Business Loan,3820087.0,16.89,180,2023-12-18,58493.75,3586112.0,30,Active,BR025
73,L000074,C04442,Home Loan,13070167.0,17.72,48,2022-09-11,382026.47,10778008.18,0,Active,BR016
74,L000075,C04352,Home Loan,7147174.0,11.02,60,2024-12-01,155468.18,4504214.94,15,Active,BR013
75,L000076,C00786,Education Loan,1881238.0,15.85,36,2022-11-24,65999.52,1551240.4,60,Active,BR025
76,L000077,C02543,Education Loan,2425730.0,11.99,120,2020-09-22,34788.16,1312508.88,0,Active,BR012
77,L000078,C01410,Home Loan,10584625.0,11.99,120,2022-03-13,151797.44,9218448.04,90,NPA,BR017
78,L000079,C04284,Auto Loan,428337.0,11.79,48,2021-01-06,11235.64,327216.24,15,Active,BR026
79,L000080,C01872,Personal Loan,892325.0,17.51,12,2020-10-31,81600.41,647523.77,15,Active,BR013
80,L000081,C02978,Auto Loan,340813.0,13.63,36,2025-05-04,11587.03,167007.55,0,Active,BR017
81,L000082,C02599,Business Loan,4676271.0,16.98,48,2021-11-12,134885.62,1843672.98,0,Active,BR009
82,L000083,C02035,Education Loan,2464833.0,9.66,240,2020-11-14,23233.62,2186029.56,5,Active,BR006
83,L000084,C01789,Home Loan,11877516.0,17.31,180,2024-11-06,185411.35,7242232.25,60,Active,BR013
84,L000085,C03336,Personal Loan,1074335.0,12.39,180,2023-09-26,13164.61,942688.9,0,Active,BR009
85,L000086,C01155,Auto Loan,999999999.0,13.61,12,2020-01-16,196123.18,227552.2000000002,0,Active,BR017
86,L000087,C03263,Auto Loan,466460.0,11.81,60,2021-12-29,10331.41,311488.85,0,Active,BR005
87,L000088,C01403,Education Loan,2421598.0,7.7,180,2024-05-03,22724.61,1717135.09,60,Active,BR001
88,L000089,C04448,Education Loan,398858.0,17.98,240,2021-09-30,6149.48,331213.72,0,Active,BR010
89,L000090,C00635,Education Loan,767670.0,13.67,240,2020-02-11,9362.7,561690.6,5,Active,BR026
90,L000091,C02233,Business Loan,2254746.0,8.43,36,2020-08-08,71103.67,263843.24,5,Active,BR005
91,L000092,C02840,Home Loan,2668007.0,16.41,120,2020-12-17,45376.69,1079822.85,0,Active,BR006
92,L000093,C04631,Home Loan,2064345.0,10.44,60,2023-06-18,44309.49,1665559.59,0,Active,BR003
93,L000094,C04916,Business Loan,5090109.0,15.76,24,2021-06-20,248644.26,614512.3200000003,0,Active,BR018
94,L000095,C04437,Auto Loan,2170755.0,15.77,60,2021-05-11,52523.63,384951.5800000001,30,Active,BR008
95,L000096,C04512,Education Loan,1908749.0,14.34,48,2020-02-15,52485.51,1541350.43,30,Active,BR002
96,L000097,C03755,Auto Loan,1002708.0,8.0,24,2020-11-08,45349.77,912008.46,5,Active,BR002
97,L000098,C02753,Auto Loan,544076.0,12.04,84,2025-07-30,9616.07,274826.04000000004,0,Active,BR004
98,L000099,C00274,Auto Loan,1728449.0,8.08,84,2022-08-01,27008.92,864163.56,90,Active,BR026
99,L000100,C03534,Education Loan,1242350.0,10.01,48,2025-04-03,31515.17,202349.39,0,Active,BR018
100,L000101,C03533,Home Loan,11667043.0,9.98,48,2020-08-30,295794.3,6342745.600000001,0,Active,BR011
101,L000102,C00548,Business Loan,3194099.0,15.87,240,2025-11-11,44126.86,1737912.62,0,Active,BR023
102,L000103,C00342,Personal Loan,1071767.0,11.89,36,2024-04-16,35541.72,467557.76,0,Active,BR005
103,L000104,C02985,Auto Loan,2436997.0,14.25,48,2024-07-09,66900.56,296179.0800000001,15,Active,BR004
104,L000105,C00067,Auto Loan,1558729.0,7.81,12,2022-09-01,135454.49,204184.1000000001,0,Active,BR013
105,L000106,C01436,Home Loan,5047732.0,17.04,48,2022-04-27,145757.0,4027433.0,0,Active,BR005
106,L000107,C03456,Personal Loan,878533.0,9.79,60,2022-04-21,18575.58,358416.75999999995,0,Active,BR027
107,L000108,C01728,Home Loan,9005196.0,13.93,84,2023-07-18,168409.45,3279274.6999999997,15,Active,BR007
108,L000109,C04371,Business Loan,4228816.0,15.57,24,2022-04-20,206188.19,1548369.5299999998,0,Active,BR021
109,L000110,C00768,Education Loan,219627.0,8.33,36,2022-12-09,6915.8,60563.600000000006,60,Active,BR012
110,L000111,C02922,Home Loan,4604637.0,17.64,60,2024-04-02,116027.62,1819974.12,0,Active,BR017
111,L000112,C04183,Education Loan,1640983.0,13.16,48,2022-02-20,44153.89,537135.75,0,Active,BR012
112,L000113,C03997,Personal Loan,1100901.0,8.49,120,2024-09-24,13643.71,937176.48,0,Active,BR019
113,L000114,C03675,Business Loan,622814.0,14.76,240,2022-10-04,8090.92,549995.72,0,Active,BR002
114,L000115,C00372,Auto Loan,818326.0,7.55,12,2022-04-08,71014.74,463252.3,0,Active,BR028
115,L000116,C02671,Personal Loan,1391284.0,15.83,120,2024-04-01,23158.65,1252332.1,30,Active,BR022
116,L000117,C00885,Auto Loan,2073340.0,12.09,120,2025-10-14,29854.38,1147854.22,0,Active,BR027
117,L000118,C03383,Home Loan,11466040.0,16.43,24,2023-03-28,563771.62,4700780.5600000005,0,Active,BR028
118,L000119,C00132,Business Loan,4791895.0,11.69,12,2023-09-01,425059.45,541300.5,0,Active,BR021
119,L000120,C01940,Home Loan,11752461.0,13.0,12,2021-05-05,1049697.8,7553669.8,15,Active,BR002
120,L000121,C03239,Business Loan,3795084.0,10.74,48,2024-10-18,97607.44,1550112.88,0,Active,BR018
121,L000122,C03975,Auto Loan,2998760.0,16.86,60,2022-02-16,74301.36,695417.8399999999,30,Active,BR012
122,L000123,C00801,Personal Loan,1379363.0,14.82,24,2023-08-15,66762.78,1045549.1,30,Active,BR012
123,L000124,C01149,Education Loan,2154435.0,16.45,12,2025-12-05,195932.81,1762569.38,0,Active,BR016
124,L000125,C02652,Business Loan,3304521.0,15.32,12,2021-05-01,298759.69,18164.41000000015,60,Active,BR016
125,L000126,C04793,Business Loan,4712504.0,9.55,120,2023-07-10,61107.73,4223642.16,0,Active,BR028
126,L000127,C02270,Education Loan,2437670.0,13.0,120,2024-03-11,36397.03,1891714.55,15,Active,BR020
127,L000128,C01218,Business Loan,2993314.0,12.08,120,2025-07-27,43083.9,2390139.4,0,Active,BR021
128,L000129,C02714,Education Loan,655053.0,10.74,12,2025-04-12,57815.26,76900.40000000002,0,Active,BR016
129,L000130,C04130,Home Loan,9345373.0,14.34,240,2024-09-29,118526.44,6026632.68,0,Active,BR018
130,L000131,C03355,Education Loan,2485025.0,11.59,84,2024-11-25,43324.48,1878482.28,0,Active,BR020
131,L000132,C02764,Personal Loan,1293176.0,9.27,48,2022-08-17,32346.79,646240.2,15,Active,BR004
132,L000133,C01973,Auto Loan,1453703.0,13.16,36,2024-02-12,49093.11,1011865.01,5,Active,BR027
133,L000134,C02194,Home Loan,7778276.0,8.59,12,2020-05-27,678743.74,5742044.78,0,Active,BR006
134,L000135,C03225,Business Loan,8818240.0,10.77,60,2024-01-28,190719.98,8055360.08,15,Active,BR030
135,L000136,C04496,Personal Loan,874425.0,13.07,120,2025-11-30,13092.23,416196.95,0,Active,BR015
136,L000137,C00258,Home Loan,5999196.0,10.64,12,2024-07-22,529212.02,1236287.8200000003,0,Active,BR017
137,L000138,C01806,Education Loan,2086424.0,14.01,180,2024-02-03,27799.79,1113431.35,0,Active,BR001
138,L000139,C01745,Personal Loan,999999999.0,13.48,180,2022-02-16,9517.91,391202.24,15,Active,BR030
139,L000140,C03969,Personal Loan,12780113.0,11.78,120,2026-06-27,181735.82,9145396.6,0,Active,BR004
140,L000141,C02505,Business Loan,2416292.0,8.48,36,2025-08-25,76254.0,1272482.0,5,Active,BR026
141,L000142,C02826,Business Loan,8549871.0,17.56,84,2022-06-18,177501.57,3579827.04,0,Active,BR002
142,L000143,C03679,Auto Loan,942001.0,7.21,12,2024-02-19,81599.5,615603.0,0,Active,BR030
143,L000144,C02123,Home Loan,12197397.0,17.28,48,2020-08-06,353725.83,10075042.02,0,Active,BR012
144,L000145,C04403,Education Loan,470804.0,9.69,48,2023-12-20,11870.84,292741.4,15,Active,BR030
145,L000146,C01388,Personal Loan,1171402.0,14.47,84,2020-12-25,22257.35,392394.75,0,Active,BR006
146,L000147,C02825,Home Loan,356783.0,10.51,24,2022-09-11,16547.83,0.0,30,Active,BR027
147,L000148,C02064,Business Loan,893334.0,13.86,240,2025-09-01,11018.08,496683.12,0,Active,BR013
148,L000149,C03837,Personal Loan,1360627.0,7.98,36,2025-10-11,42624.55,977006.05,0,Active,BR016
149,L000150,C02069,Business Loan,4336991.0,9.45,180,2020-09-21,45157.17,3795104.96,0,Active,BR025
150,L000151,C04451,Home Loan,4967063.0,16.67,84,2021-02-19,100560.91,4866502.09,30,Active,BR007
151,L000152,C00746,Home Loan,3051896.0,8.05,180,2020-01-10,29253.67,2525329.94,5,Active,BR013
152,L000153,C04978,Personal Loan,1202251.0,16.68,120,2023-05-22,20651.69,624003.68,0,Active,BR024
153,L000154,C02439,Auto Loan,1419509.0,9.87,84,2021-04-16,23470.29,903162.62,30,Active,BR010
154,L000155,C01656,Business Loan,9803453.0,15.81,120,2024-01-25,163061.8,8335896.8,15,Active,BR014
155,L000156,C00457,Business Loan,-500000.0,7.35,240,2020-02-29,67605.78,6392651.82,0,Active,BR006
156,L000157,C02639,Auto Loan,2385514.0,11.14,12,2021-08-18,210991.5,1541548.0,90,Active,BR010
157,L000158,C03738,Business Loan,3416603.0,9.45,120,2022-09-19,44116.53,3019554.23,0,Active,BR027
158,L000159,C04980,Business Loan,3953769.0,16.38,84,2022-08-08,79388.12,2524782.84,60,Active,BR010
159,L000160,C00311,Education Loan,1452847.0,13.16,120,2022-12-31,21829.89,863439.97,0,Active,BR004
160,L000161,C01366,Business Loan,2840135.0,10.74,180,2023-01-04,31818.72,2299216.76,90,Active,BR008
161,L000162,C03835,Home Loan,6931252.0,9.13,12,2023-11-17,606566.15,5111553.55,60,Active,BR001
162,L000163,C02108,Business Loan,7134357.0,10.57,120,2024-08-06,96547.29,7037809.71,90,NPA,BR019
163,L000164,C02151,Auto Loan,2586141.0,7.34,12,2024-10-21,224175.92,120205.87999999987,5,Active,BR003
164,L000165,C01880,Personal Loan,1047312.0,13.43,48,2023-09-27,28320.79,395933.83,60,Active,BR025
165,L000166,C02149,Home Loan,7251685.0,9.23,60,2026-01-01,151343.82,6040934.44,30,Active,BR008
166,L000167,C04888,Home Loan,14286264.0,12.54,180,2021-05-05,176453.41,13580450.36,30,Active,BR006
167,L000168,C04868,Business Loan,7340575.0,17.35,180,2025-11-07,114797.59,5733408.74,30,Active,BR028
168,L000169,C01606,Business Loan,2375241.0,8.05,180,2024-07-23,22767.65,1783282.1,15,Active,BR010
169,L000170,C04176,Home Loan,10011908.0,16.65,12,2026-02-22,911471.45,1808664.95,0,Active,BR029
170,L000171,C00498,Auto Loan,2167476.0,15.99,60,2020-04-07,52697.29,1166227.49,0,Active,BR004
171,L000172,C04630,Education Loan,2338424.0,16.97,60,2020-05-16,58078.15,1293017.2999999998,0,Active,BR020
172,L000173,C03706,Home Loan,11646703.0,16.42,60,2020-04-19,285830.82,9931718.08,0,Active,BR008
173,L000174,C03994,Auto Loan,2301661.0,7.29,12,2025-01-01,199463.08,1304345.6,0,Active,BR025
174,L000175,C02578,Education Loan,1219243.0,13.28,60,2022-03-02,27916.6,632994.4,0,Active,BR014
175,L000176,C02180,Auto Loan,1203350.0,9.46,24,2023-09-14,55229.06,761517.52,5,Active,BR013
176,L000177,C03325,Education Loan,2289249.0,10.05,60,2022-11-03,48696.12,779669.28,0,Active,BR016
177,L000178,C02190,Auto Loan,2165493.0,10.12,60,2026-06-07,46138.29,504514.56000000006,0,Active,BR015
178,L000179,C00488,Auto Loan,1203841.0,10.32,120,2025-10-13,16122.93,655661.38,5,Active,BR017
179,L000180,C03296,Education Loan,586614.0,8.51,180,2025-02-25,5780.06,471012.8,90,Active,BR013
180,L000181,C01048,Business Loan,1872852.0,13.99,180,2020-11-25,24928.96,1274556.96,0,Active,BR029
181,L000182,C03987,Education Loan,126384.0,13.58,180,2023-04-04,1647.6,116498.4,60,Active,BR013
182,L000183,C04386,Business Loan,2602171.0,7.83,240,2026-04-24,21491.1,2064893.5,0,Active,BR026
183,L000184,C00482,Home Loan,2141620.0,7.48,180,2021-09-27,19828.75,1685558.75,0,Active,BR027
184,L000185,C02416,Home Loan,14742488.0,8.46,84,2021-02-19,233172.77,11944414.76,30,Active,BR016
185,L000186,C02452,Business Loan,1335481.0,9.94,48,2024-11-01,33832.78,827989.3,0,Active,BR004
186,L000187,C00216,Business Loan,4406636.0,17.94,180,2024-05-15,70775.25,4335860.75,0,Active,BR007
187,L000188,C00670,Personal Loan,82535.0,12.31,60,2023-11-30,1848.9,19672.399999999998,0,Active,BR022
188,L000189,C02945,Business Loan,2895181.0,11.78,84,2022-01-16,50767.86,2590573.84,5,Active,BR007
189,L000190,C01599,Business Loan,9851244.0,11.65,180,2021-03-21,116022.36,9735221.64,0,Active,BR019
190,L000191,C03504,Home Loan,6022436.0,10.55,84,2025-11-08,101699.36,2666357.12,0,Active,BR022
191,L000192,C02708,Business Loan,3887103.0,11.98,240,2020-02-11,42746.17,2818448.75,15,Active,BR028
192,L000193,C03823,Auto Loan,2275237.0,15.03,120,2024-12-28,36749.34,1797495.58,60,Active,BR013
193,L000194,C03710,Business Loan,8560615.0,10.65,24,2024-07-07,397602.12,2198981.08,0,Active,BR005
194,L000195,C03042,Business Loan,5256192.0,12.95,240,2021-09-01,61393.14,5072012.58,0,Active,BR026
195,L000196,C01804,Auto Loan,804279.0,17.97,60,2023-06-20,20410.28,253201.4400000001,0,Active,BR007
196,L000197,C04465,Business Loan,1940221.0,15.44,60,2025-11-22,46607.05,1847006.9,5,Active,BR014
197,L000198,C01768,Personal Loan,276593.0,16.41,24,2023-02-18,13597.1,181413.3,90,NPA,BR004
198,L000199,C04205,Business Loan,6876820.0,9.46,180,2023-03-23,71643.56,6590245.76,0,Active,BR011
199,L000200,C01983,Home Loan,10165567.0,8.64,84,2023-11-13,161703.45,8063422.15,0,Active,BR020
200,L000201,C02472,Education Loan,188403.0,7.19,36,2023-03-28,5833.72,170901.84,5,Active,BR005
201,L000202,C04453,Education Loan,1050158.0,17.01,36,2021-01-05,37446.22,525910.9199999999,120,Active,BR020
202,L000203,C02733,Auto Loan,1009984.0,16.28,48,2020-08-03,28768.27,578459.95,30,Active,BR021
203,L000204,C00102,Education Loan,2496898.0,10.83,36,2025-07-08,81544.37,1762998.67,0,Active,BR014
204,L000205,C01492,Home Loan,1168812.0,13.96,180,2021-04-22,15534.15,951333.9,0,Active,BR015
205,L000206,C03498,Home Loan,3224257.0,10.11,12,2023-05-30,283628.39,2373371.83,0,Active,BR006
206,L000207,C01802,Education Loan,1500350.0,13.62,84,2020-04-16,27802.57,638470.33,0,Active,BR005
207,L000208,C01590,Home Loan,8140931.0,11.06,36,2023-04-18,266755.01,2272320.78,30,Active,BR026
208,L000209,C04762,Education Loan,101274.0,17.01,180,2024-03-21,1559.33,57612.76,120,Written Off,BR026
209,L000210,C02880,Home Loan,1796864.0,12.72,36,2021-03-08,138076.43,3838255.14,5,Active,BR022
210,L000211,C00946,Personal Loan,1340456.0,11.76,60,2023-06-17,29655.39,1310800.61,0,Active,BR026
211,L000212,C00192,Business Loan,3667920.0,10.65,36,2023-04-12,119475.96,2712112.32,0,Active,BR012
212,L000213,C03954,Education Loan,1613357.0,9.82,36,2025-06-04,51922.26,938367.62,0,Active,BR025
213,L000214,C01164,Auto Loan,277267.0,10.96,240,2023-11-25,2854.37,217325.23,0,Active,BR004
214,L000215,C01618,Education Loan,1471852.0,10.5,60,2021-06-17,31635.84,427869.28,60,Active,BR005
215,L000216,C03815,Auto Loan,1539947.0,13.37,12,2025-12-13,137811.33,1264324.34,0,Active,BR021
216,L000217,C02406,Auto Loan,1271176.0,8.27,120,2022-02-03,15604.83,709402.12,30,Active,BR008
217,L000218,C04969,Business Loan,3696226.0,17.8,120,2024-02-09,66125.34,3233348.62,0,Active,BR011
218,L000219,C02425,Business Loan,3132931.0,11.12,12,2022-09-12,277069.03,1747585.85,5,Active,BR005
219,L000220,C04972,Education Loan,1131592.0,17.31,48,2025-11-15,32833.91,245076.42999999996,0,Active,BR030
220,L000221,C02181,Auto Loan,909560.0,12.39,48,2022-11-19,24126.74,137504.31999999995,0,Active,BR029
221,L000222,C03488,Auto Loan,2399791.0,14.6,120,2024-12-21,38131.29,1446508.75,0,Active,BR008
222,L000223,C00634,Auto Loan,2230365.0,16.53,84,2022-12-01,44975.54,1555731.9,0,Active,BR001
223,L000224,C02587,Personal Loan,326515.0,15.28,24,2026-11-03,15875.09,0.0,0,Active,BR027
224,L000225,C00683,Personal Loan,829774.0,8.26,60,2022-05-21,16928.26,795917.48,30,Active,BR025
225,L000226,C03820,Home Loan,5064614.0,13.39,60,2021-04-28,116249.18,1693387.7800000005,15,Active,BR022
226,L000227,C04160,Home Loan,6951599.0,7.39,36,2026-02-01,215886.94,2633860.2,0,Active,BR030
227,L000228,C00877,Personal Loan,984216.0,10.78,12,2024-03-06,86885.68,636673.28,0,Active,BR026
228,L000229,C03390,Personal Loan,670091.0,11.61,12,2023-03-21,59414.59,432432.64,0,Active,BR004
229,L000230,C03322,Education Loan,532370.0,13.17,84,2022-11-04,9734.13,386358.0500000001,0,Active,BR029
230,L000231,C00736,Home Loan,2882856.0,9.57,12,2026-01-22,252872.67,859874.6399999999,5,Active,BR023
231,L000232,C00765,Business Loan,7828975.0,8.33,36,2024-08-29,246525.22,0.0,15,Active,BR025
232,L000233,C01482,Home Loan,12176811.0,11.31,240,2024-11-11,128266.64,10765877.96,0,Active,BR020
233,L000234,C04623,Home Loan,2240629.0,14.44,240,2025-06-30,28581.54,2069139.76,0,Active,BR007
234,L000235,C04750,Education Loan,494931.0,14.21,120,2025-01-18,7747.23,339986.4,0,Active,BR003
235,L000236,C03573,Education Loan,1870540.0,9.14,180,2026-05-03,19128.36,1564486.24,0,Active,BR021
236,L000237,C00317,Education Loan,2233379.0,12.87,24,2022-11-28,106042.59,748782.74,0,Active,BR027
237,L000238,C02107,Home Loan,9401892.0,16.02,84,2025-04-01,186848.09,6786018.74,0,Active,BR009
238,L000239,C00187,Auto Loan,2929899.0,11.78,120,2020-12-12,41663.76,2096623.8,30,Active,BR013
239,L000240,C02583,Business Loan,7587075.0,9.79,12,2021-03-14,666283.63,257955.0700000003,0,Active,BR013
240,L000241,C03922,Business Loan,5446630.0,13.6,24,2024-05-16,260480.36,2841826.4000000004,90,Written Off,BR023
241,L000242,C02161,Home Loan,3774054.0,9.69,240,2024-06-19,35648.71,2989782.38,0,Active,BR002
242,L000243,C01519,Auto Loan,2029614.0,16.09,84,2023-01-12,40416.43,1382951.12,0,Active,BR001
243,L000244,C02144,Education Loan,2108614.0,14.34,12,2023-06-19,189663.87,401639.1699999999,5,Active,BR029
244,L000245,C04778,Auto Loan,2152206.0,10.11,240,2025-06-16,20926.35,2089426.95,15,Active,BR012
245,L000246,C02435,Personal Loan,803207.0,15.95,84,2021-04-12,15930.48,277501.16000000003,0,Active,BR007
246,L000247,C02029,Auto Loan,797073.0,14.3,24,2020-04-27,38382.83,67799.22999999998,0,Active,BR007
247,L000248,C01389,Auto Loan,2917871.0,11.55,60,2020-01-14,64244.86,669300.8999999999,0,Active,BR012
248,L000249,C02747,Home Loan,4690658.0,17.89,240,2023-05-29,71994.62,3970711.8,0,Active,BR015
249,L000250,C03878,Home Loan,8501785.0,11.51,36,2026-02-05,280395.35,0.0,0,Active,BR019
