,Complaint_ID,Customer_ID,Complaint_Date,Complaint_Type,Priority,Status,Resolution_Days,Channel
62,CM000063,C02620,2024-09-25,FRAUD COMPLAINT,Critical,Closed,7.0,Email
63,CM000064,C00057,2024-07-07,LOAN QUERY,Medium,Pending,,Branch
64,CM000065,C04632,2024-08-09,CARD ISSUE,High,Pending,,Email
65,CM000066,C02786,2026-02-10,FRAUD COMPLAINT,Medium,Escalated,,Branch
66,CM000067,C00674,2025-07-01,CARD ISSUE,Low,Open,,App
67,CM000068,C03100,2024-07-09,ACCOUNT SERVICE,High,Pending,,Email
68,CM000069,C03418,2025-10-04,ACCOUNT SERVICE,Low,Closed,0.0,App
69,CM000070,C04518,2025-11-16,KYC UPDATE,Medium,Escalated,,Social Media
70,CM000071,C01110,2025-03-02,TRANSACTION DISPUTE,Critical,Escalated,,Social Media
71,CM000072,C04430,2025-10-19,CARD ISSUE,Medium,Closed,,App
72,CM000073,C00511,2026-02-15,LOAN QUERY,Low,Closed,5.0,Call Center
73,CM000074,C02580,2025-10-15,CARD ISSUE,Medium,Pending,,Branch
74,CM000075,C03398,2024-08-28,TRANSACTION DISPUTE,High,Pending,,Email
75,CM000076,C01839,2024-03-17,LOAN QUERY,Medium,Pending,,Call Center
76,CM000077,C04658,2026-03-01,CHARGES DISPUTE,Medium,Pending,,Social Media
77,CM000078,C04236,2026-05-19,LOAN QUERY,Critical,Escalated,,Email
78,CM000079,C01654,2026-04-04,LOAN QUERY,High,Open,,App
79,CM000080,C03687,2024-05-04,TRANSACTION DISPUTE,High,Escalated,,Email
80,CM000081,C03712,2024-08-25,KYC UPDATE,Low,Open,,Branch
81,CM000082,C02210,2025-06-30,CHARGES DISPUTE,Low,Closed,3.0,Social Media
82,CM000083,C02966,2024-07-09,ACCOUNT SERVICE,Medium,Open,,Branch
83,CM000084,C01658,2025-08-15,LOAN QUERY,Medium,Pending,,Email
84,CM000085,C01113,2026-02-07,TRANSACTION DISPUTE,High,Closed,,Social Media
85,CM000086,C01493,2024-04-12,TRANSACTION DISPUTE,Low,Escalated,,Social Media
86,CM000087,C00175,2025-03-02,ACCOUNT SERVICE,High,Open,,App
87,CM000088,C04626,2024-02-23,ACCOUNT SERVICE,High,Closed,0.0,Call Center
88,CM000089,C04986,2026-02-09,CHARGES DISPUTE,Low,Pending,,Email
89,CM000090,C01327,2024-03-24,CHARGES DISPUTE,Medium,Closed,15.0,Social Media
90,CM000091,C01674,2024-06-20,ACCOUNT SERVICE,Low,Pending,,Email
91,CM000092,C02465,2024-01-29,LOAN QUERY,High,Pending,,Call Center
92,CM000093,C02028,2025-04-11,TRANSCTION DISPUTE,High,Escalated,,Social Media
93,CM000094,C03512,2025-11-19,TRANSACTION DISPUTE,Low,Escalated,,App
94,CM000095,C03771,2026-02-06,CARD ISSUE,Low,Escalated,,Call Center
95,CM000096,C01587,2024-08-30,FRAUD COMPLAINT,Low,Pending,,Call Center
96,CM000097,C00110,2024-10-04,FRAUD COMPLAINT,Critical,Open,,Email
97,CM000098,C03171,2025-11-01,CHARGES DISPUTE,High,Escalated,,Email
98,CM000099,C04886,2025-11-11,TRANSACTION DISPUTE,Medium,Pending,,Call Center
99,CM000100,C00669,2025-05-26,CHARGES DISPUTE,Medium,Escalated,,Email
100,CM000101,C02428,2025-10-30,LOAN QUERY,Critical,Closed,0.0,Email
101,CM000102,C03413,2025-08-03,CARD ISSUE,Critical,Closed,5.0,Social Media
102,CM000103,C04926,2025-03-29,KYC UPDATE,High,Pending,,Call Center
103,CM000104,C02387,2025-11-18,ACCOUNT SERVICE,Medium,Pending,,Call Center
104,CM000105,C01929,2024-09-21,ACCOUNT SERVICE,Low,Pending,,Social Media
105,CM000106,C00702,2024-07-25,FRAUD COMPLAINT,Medium,Pending,,Branch
106,CM000107,C00551,2026-06-16,KYC UPDATE,Medium,Closed,2.0,App
107,CM000108,C04630,2025-04-29,KYC UPDATE,Low,Open,,App
108,CM000109,C01856,2024-05-11,LOAN QUERY,Medium,Open,,Branch
109,CM000110,C04652,2024-07-31,KYC UPDATE,Low,Open,,Email
110,CM000111,C04302,2024-04-22,ACCOUNT SERVICE,Low,Open,,Email
111,CM000112,C01592,2026-01-06,CHARGES DISPUTE,Medium,Pending,,Email
112,CM000113,C00778,2025-02-09,CARD ISSUE,High,Closed,2.0,App
113,CM000114,C03246,2024-06-29,CARD ISSUE,Medium,Open,,Social Media
114,CM000115,C00977,2025-10-26,CHARGES DISPUTE,Low,Pending,,Branch
115,CM000116,C02203,2024-01-22,CHARGES DISPUTE,Medium,Open,,Branch
116,CM000117,C01141,2025-02-18,FRAUD COMPLAINT,High,Pending,,App
117,CM000118,C00834,2024-06-01,CHARGES DISPUTE,Low,Closed,7.0,Social Media
118,CM000119,C01569,2025-06-06,ACCOUNT SERVICE,Critical,Open,,Email
119,CM000120,C04636,2026-06-09,KYC UPDATE,Low,Closed,1.0,Social Media
120,CM000121,C04237,2025-05-23,CHARGES DISPUTE,High,Escalated,,Branch
121,CM000122,C01930,2025-01-10,TRANSACTION DISPUTE,Medium,Escalated,,Call Center
122,CM000123,C00036,2025-12-03,TRANSACTION DISPUTE,Medium,Open,,Social Media
123,CM000124,C03552,2024-10-01,TRANSACTION DISPUTE,High,Escalated,,Call Center
124,CM000125,C04331,2024-11-04,TRANSACTION DISPUTE,Critical,Escalated,,Call Center
125,CM000126,C04037,2024-09-12,LOAN QUERY,High,Open,,Email
126,CM000127,C00582,2024-04-17,ACCOUNT SERVICE,Medium,Pending,,Social Media
127,CM000128,C03484,2024-05-12,FRAUD COMPLAINT,High,Closed,15.0,Social Media
128,CM000129,C04625,2026-06-28,ACCOUNT SERVICE,Low,Pending,,Branch
129,CM000130,C02781,2024-10-11,CARD ISSUE,Medium,Closed,0.0,Email
130,CM000131,C02893,2024-03-04,LOAN QUERY,Low,Escalated,,Social Media
131,CM000132,C00433,2025-12-14,CARD ISSUE,Medium,Closed,10.0,Email
132,CM000133,C00331,2026-02-22,FRAUD COMPLAINT,High,Pending,,Email
133,CM000134,C04061,2024-08-21,KYC UPDATE,Medium,Closed,,Social Media
134,CM000135,C04497,2025-04-05,CARD ISSUE,Medium,Open,,Call Center
135,CM000136,C02094,2024-11-01,TRANSACTION DISPUTE,High,Escalated,,App
136,CM000137,C00446,2024-02-09,LOAN QUERY,Medium,Open,,Branch
137,CM000138,C02380,2025-11-29,TRANSCTION DISPUTE,Low,Escalated,,App
138,CM000139,C04570,2025-07-20,TRANSACTION DISPUTE,High,Closed,3.0,Email
139,CM000140,C01907,2024-02-16,TRANSACTION DISPUTE,Medium,Open,,Branch
140,CM000141,C02237,2024-05-08,FRAUD COMPLAINT,Medium,Closed,,Social Media
141,CM000142,C01122,2026-05-09,TRANSACTION DISPUTE,Medium,Escalated,,Branch
142,CM000143,C00854,2025-07-18,FRAUD COMPLAINT,Medium,Pending,,Social Media
143,CM000144,C00376,2025-04-26,ACCOUNT SERVICE,Medium,Closed,,Social Media
144,CM000145,C00754,2024-08-18,CARD ISSUE,Low,Closed,3.0,Social Media
145,CM000146,C04887,2026-06-16,CARD ISSUE,Medium,Escalated,,Call Center
146,CM000147,C01702,2025-02-09,CHARGES DISPUTE,Low,Open,,Social Media
147,CM000148,C01890,2024-06-17,FRAUD COMPLAINT,Medium,Pending,,Social Media
148,CM000149,C04936,2024-10-02,ACCOUNT SERVICE,Low,Closed,5.0,Call Center
149,CM000150,C02040,2026-01-11,ACCOUNT SERVICE,Medium,Closed,1.0,Branch
150,CM000151,C01471,2024-03-27,KYC UPDATE,Medium,Pending,,Social Media
151,CM000152,C01291,2025-07-15,KYC UPDATE,Medium,Open,,Call Center
152,CM000153,C04515,2025-06-05,TRANSACTION DISPUTE,Low,Pending,,Social Media
153,CM000154,C04034,2025-09-23,ACCOUNT SERVICE,Medium,Open,,Email
154,CM000155,C01981,2025-08-02,CHARGES DISPUTE,Medium,Open,,App
155,CM000156,C01086,2024-12-12,LOAN QUERY,Medium,Escalated,,Social Media
156,CM000157,C03025,2024-06-23,TRANSACTION DISPUTE,Low,Escalated,,Email
157,CM000158,C04296,2025-12-03,FRAUD COMPLAINT,Low,Open,,Call Center
158,CM000159,C02199,2024-01-17,LOAN QUERY,Medium,Closed,3.0,Branch
159,CM000160,C03047,2024-06-13,CARD ISSUE,Low,Escalated,,Email
160,CM000161,C04344,2025-01-05,FRAUD COMPLAINT,Low,Escalated,,Call Center
161,CM000162,C00925,2024-06-22,KYC UPDATE,High,Open,,Call Center
162,CM000163,C03164,2024-06-26,FRAUD COMPLAINT,Critical,Pending,,App
163,CM000164,C03567,2025-05-13,ACCOUNT SERVICE,Critical,Closed,15.0,Branch
164,CM000165,C03785,2024-10-15,KYC UPDATE,High,Open,,Call Center
165,CM000166,C00185,2024-05-30,FRAUD COMPLAIN,Low,Escalated,,Call Center
166,CM000167,C02270,2024-06-23,FRAUD COMPLAINT,Critical,Pending,,Email
167,CM000168,C00025,2024-12-17,CARD ISSUE,High,Escalated,,Social Media
168,CM000169,C02510,2024-10-01,ACCOUNT SERVICE,Low,Open,,Call Center
169,CM000170,C04739,2026-03-18,ACCOUNT SERVICE,Medium,Pending,,Call Center
170,CM000171,C04976,2024-10-14,TRANSACTION DISPUTE,Medium,Pending,,App
171,CM000172,C01112,2024-05-26,CHARGES DISPUTE,Medium,Closed,0.0,Branch
172,CM000173,C02869,2025-07-08,FRAUD COMPLAINT,Critical,Open,,Social Media
173,CM000174,C01464,2025-08-21,CHARGES DISPUTE,Critical,Closed,0.0,App
174,CM000175,C00390,2025-05-20,KYC UPDATE,Medium,Pending,,App
175,CM000176,C04274,2025-07-23,FRAUD COMPLAINT,High,Closed,0.0,Call Center
176,CM000177,C01187,2026-06-06,ACCOUNT SERVICE,Critical,Closed,,Email
177,CM000178,C03020,2024-05-08,LOAN QUERY,Low,Escalated,,Call Center
178,CM000179,C00285,2025-08-07,ACCOUNT SERVICE,Low,Closed,5.0,Email
179,CM000180,C03035,2024-10-19,TRANSACTION DISPUTE,Medium,Pending,,Social Media
180,CM000181,C04386,2025-06-05,CARD ISSUE,High,Closed,15.0,Call Center
181,CM000182,C02368,2025-04-14,LOAN QUERY,Medium,Closed,15.0,App
182,CM000183,C02781,2024-03-28,FRAUD COMPLAINT,Medium,Pending,,Email
183,CM000184,C02487,2025-01-22,KYC UPDATE,Low,Pending,,Social Media
184,CM000185,C04025,2024-01-14,FRAUD COMPLAINT,Low,Closed,3.0,App
185,CM000186,C02616,2025-06-26,KYC UPDATE,Low,Closed,7.0,Email
186,CM000187,C02588,2025-11-07,KYC UPDATE,Critical,Closed,1.0,Email
187,CM000188,C02605,2024-06-25,KYC UPDATE,Low,Escalated,,Social Media
188,CM000189,C04015,2025-09-24,TRANSACTION DISPUTE,High,Escalated,,Social Media
189,CM000190,C02924,2026-02-19,CARD ISSUE,Low,Closed,30.0,Branch
190,CM000191,C00103,2025-08-20,CARD ISSUE,Low,Closed,10.0,App
191,CM000192,C00845,2024-04-05,CARD ISSUE,Medium,Closed,,Email
192,CM000193,C02547,2025-02-28,TRANSACTION DISPUTE,Critical,Closed,,Social Media
193,CM000194,C02874,2024-05-15,CHARGES DISPUTE,Medium,Closed,7.0,Branch
194,CM000195,C03903,2025-01-08,TRANSACTION DISPUTE,Low,Escalated,,Branch
195,CM000196,C00177,2025-02-20,LOAN QUERY,Medium,Closed,10.0,Social Media
196,CM000197,C01059,2025-12-19,TRANSACTION DISPUTE,Medium,Pending,,Call Center
197,CM000198,C01444,2026-05-10,TRANSACTION DISPUTE,Medium,Pending,,Branch
198,CM000199,C03167,2025-07-23,CARD ISSUE,Low,Open,,Branch
199,CM000200,C04629,2025-08-08,KYC UPDATE,Medium,Escalated,,App
200,CM000201,C01644,2024-08-26,KYC UPDATE,High,Pending,,Branch
201,CM000202,C03781,2026-05-30,CHARGES DISPUTE,Low,Closed,30.0,Social Media
202,CM000203,C03175,2026-04-23,KYC UPDATE,Low,Open,,Call Center
203,CM000204,C02495,2025-07-10,LOAN QUERY,Low,Escalated,,App
204,CM000205,C02984,2024-01-22,ACCOUNT SERVICE,Low,Pending,,Branch
205,CM000206,C00833,2025-12-23,CARD ISSUE,Low,Escalated,,Social Media
206,CM000207,C01935,2024-03-25,ACCOUNT SERVICE,Low,Escalated,,Call Center
207,CM000208,C02040,2025-03-18,FRAUD COMPLAIN,Low,Escalated,,Call Center
208,CM000209,C03332,2025-04-30,KYC UPDATE,Medium,Open,,Social Media
209,CM000210,C04283,2024-01-06,CARD ISSUE,Medium,Escalated,,Email
210,CM000211,C03284,2024-11-22,CHARGES DISPUTE,Low,Closed,30.0,App
211,CM000212,C03292,2024-10-11,FRAUD COMPLAINT,Low,Pending,,Social Media
212,CM000213,C04804,2026-05-28,TRANSACTION DISPUTE,Low,Escalated,,Social Media
213,CM000214,C02920,2025-04-03,CARD ISSUE,Medium,Escalated,,Branch
214,CM000215,C02667,2024-07-22,CHARGES DISPUTE,Medium,Escalated,,Social Media
215,CM000216,C00028,2024-04-15,TRANSACTION DISPUTE,Medium,Closed,2.0,Branch
216,CM000217,C03363,2026-12-01,KYC UPDATE,Medium,Escalated,,Social Media
217,CM000218,C03984,2024-02-25,FRAUD COMPLAINT,Medium,Escalated,,Branch
218,CM000219,C03815,2026-01-31,TRANSACTION DISPUTE,Low,Escalated,,Branch
219,CM000220,C02553,2025-08-27,FRAUD COMPLAINT,Medium,Pending,,Branch
220,CM000221,C01021,2025-11-04,KYC UPDATE,Medium,Pending,,App
221,CM000222,C01154,2024-06-07,CHARGES DISPUTE,Low,Pending,,Branch
222,CM000223,C02153,2025-08-18,KYC UPDATE,High,Open,,Email
223,CM000224,C04709,2026-04-02,CHARGES DISPUTE,High,Open,,Branch
224,CM000225,C04044,2024-03-21,KYC UPDATE,Low,Escalated,,Branch
225,CM000226,C01488,2024-06-02,CARD ISSUE,High,Pending,,Social Media
226,CM000227,C03069,2026-06-03,CARD ISSUE,Medium,Open,,Email
227,CM000228,C00225,2025-06-26,TRANSACTION DISPUTE,Medium,Escalated,,Branch
228,CM000229,C03155,2024-06-12,TRANSACTION DISPUTE,High,Closed,3.0,Call Center
229,CM000230,C03404,2024-10-29,LOAN QUERY,High,Pending,,Branch
230,CM000231,C01868,2026-01-01,ACCOUNT SERVICE,Low,Closed,0.0,Branch
231,CM000232,C04972,2026-01-04,KYC UPDATE,Low,Pending,,Social Media
232,CM000233,C02287,2024-06-15,ACCOUNT SERVICE,Low,Escalated,,Call Center
233,CM000234,C01162,2024-05-07,FRAUD COMPLAINT,High,Open,,Call Center
234,CM000235,C02429,2026-05-19,FRAUD COMPLAINT,High,Pending,,Social Media
235,CM000236,C02282,2025-03-06,TRANSACTION DISPUTE,Medium,Pending,,Social Media
236,CM000237,C01743,2025-08-17,CARD ISSUE,Low,Pending,,Call Center
237,CM000238,C04103,2025-10-29,FRAUD COMPLAINT,Medium,Closed,7.0,Branch
238,CM000239,C04388,2025-01-07,ACCOUNT SERVICE,Medium,Closed,1.0,Social Media
239,CM000240,C00669,2024-02-11,CARD ISSUE,Critical,Pending,,App
240,CM000241,C03670,2025-06-14,FRAUD COMPLAINT,Medium,Closed,0.0,Social Media
241,CM000242,C03174,2025-04-05,CHARGES DISPUTE,Low,Closed,,App
242,CM000243,C02346,2025-04-06,LOAN QUERY,Low,Open,,Call Center
243,CM000244,C02443,2024-07-06,CHARGES DISPUTE,Medium,Open,,Social Media
244,CM000245,C00340,2024-10-10,CARD ISSUE,High,Closed,1.0,Branch
245,CM000246,C03403,2024-01-05,ACCOUNT SERVICE,Low,Pending,,Email
246,CM000247,C03681,2026-02-14,ACCOUNT SERVICE,Medium,Open,,Social Media
247,CM000248,C04373,2024-05-14,FRAUD COMPLAINT,Low,Pending,,Call Center
248,CM000249,C02186,2026-05-23,LOAN QUERY,Low,Escalated,,Branch
249,CM000250,C02951,2024-10-28,LOAN QUERY,Medium,Closed,10.0,Social Media
250,CM000251,C02595,2026-04-30,ACCOUNT SERVICE,Low,Closed,5.0,Email
251,CM000252,C04611,2026-01-29,CHARGES DISPUTE,Medium,Open,,Call Center
252,CM000253,C02814,2025-11-22,LOAN QUERY,Low,Closed,15.0,App
253,CM000254,C02706,2025-03-04,TRANSACTION DISPUTE,Medium,Escalated,,Call Center
254,CM000255,C00534,2024-03-01,KYC UPDATE,Low,Pending,,App
255,CM000256,C03783,2024-01-06,CHARGES DISPUTE,Medium,Closed,,Social Media
256,CM000257,C00060,2024-11-09,FRAUD COMPLAINT,High,Closed,0.0,Branch
257,CM000258,C02311,2025-01-18,ACCOUNT SERVICE,High,Open,,Branch
258,CM000259,C00142,2025-09-08,FRAUD COMPLAINT,Medium,Escalated,,Call Center
259,CM000260,C04469,2024-01-06,LOAN QUERY,Medium,Closed,10.0,Social Media
260,CM000261,C00589,2025-08-29,ACCOUNT SERVICE,Medium,Pending,,App
261,CM000262,C03950,2025-11-18,CHARGES DISPUTE,Low,Pending,,Branch
262,CM000263,C01158,2025-06-18,TRANSACTION DISPUTE,Critical,Open,,Branch
263,CM000264,C03318,2025-03-12,CARD ISSUE,Medium,Closed,2.0,Email
264,CM000265,C01034,2026-05-05,ACCOUNT SERVICE,Medium,Escalated,,App
265,CM000266,C02228,2026-04-09,,Critical,Pending,,Social Media
266,CM000267,C04983,2024-11-12,CHARGES DISPUTE,Medium,Pending,,Email
267,CM000268,C00700,2024-08-06,LOAN QUERY,High,Open,,Branch
268,CM000269,C04452,2024-06-17,FRAUD COMPLAINT,Low,Open,,Branch
269,CM000270,C04501,2025-08-20,KYC UPDATE,Low,Open,,Social Media
270,CM000271,C02845,2025-02-01,ACCOUNT SERVICE,High,Closed,10.0,Social Media
271,CM000272,C03549,2025-11-12,ACCOUNT SERVICE,Medium,Pending,,App
272,CM000273,C04043,2025-08-08,FRAUD COMPLAINT,Medium,Closed,1.0,Call Center
273,CM000274,C03514,2024-02-12,LOAN QUERY,Low,Closed,1.0,Email
274,CM000275,C04102,2024-01-07,ACCOUNT SERVICE,Low,Escalated,,Call Center
275,CM000276,C03038,2026-01-12,ACCOUNT SERVICE,Low,Open,,App
276,CM000277,C03254,2025-05-20,KYC UPDATE,Medium,Open,,Call Center
277,CM000278,C02575,2025-04-30,FRAUD COMPLAINT,Low,Pending,,Call Center
278,CM000279,C03889,2026-03-01,LOAN QUERY,Low,Closed,30.0,Call Center
279,CM000280,C02873,2025-08-22,KYC UPDATE,Critical,Pending,,Social Media
280,CM000281,C03971,2025-02-21,TRANSACTION DISPUTE,Medium,Escalated,,Branch
281,CM000282,C01833,2025-04-07,LOAN QUERY,Low,Escalated,,Call Center
282,CM000283,C03813,2026-04-02,TRANSACTION DISPUTE,Low,Closed,7.0,Social Media
283,CM000284,C02177,2024-02-18,CARD ISSUE,Medium,Escalated,,App
284,CM000285,C04531,2025-11-18,LOAN QUERY,Low,Closed,2.0,App
285,CM000286,C04009,2025-02-03,KYC UPDATE,Low,Closed,0.0,Branch
286,CM000287,C01235,2025-06-15,LOAN QUERY,Low,Open,,Call Center
287,CM000288,C04597,2025-05-13,LOAN QUERY,Medium,Pending,,Branch
288,CM000289,C02680,2024-11-30,TRANSACTION DISPUTE,Low,Closed,3.0,Branch
289,CM000290,C00275,2025-09-22,KYC UPDATE,Medium,Pending,,App
290,CM000291,C02426,2024-03-16,ACCOUNT SERVICE,Medium,Pending,,Email
291,CM000292,C00475,2025-07-07,TRANSACTION DISPUTE,Medium,Escalated,,Branch
292,CM000293,C03777,2025-12-27,LOAN QUERY,Low,Open,,App
293,CM000294,C00225,2025-09-20,ACCOUNT SERVICE,Medium,Open,,Call Center
294,CM000295,C03311,2025-11-04,KYC UPDATE,Medium,Open,,Email
295,CM000296,C03497,2025-07-30,FRAUD COMPLAINT,Low,Open,,Social Media
296,CM000297,C00053,2025-06-13,FRAUD COMPLAINT,Medium,Open,,Call Center
297,CM000298,C01759,2025-11-26,CARD ISSUE,Medium,Escalated,,App
298,CM000299,C01891,2026-02-17,FRAUD COMPLAINT,Low,Pending,,Branch
299,CM000300,C02124,2026-04-18,TRANSACTION DISPUTE,Medium,Open,,App
300,CM000301,C00349,2025-12-03,TRANSACTION DISPUTE,Low,Pending,,Email
301,CM000302,C02654,2025-07-29,CHARGES DISPUTE,Low,Open,,Call Center
302,CM000303,C00924,2024-08-25,CARD ISSUE,Low,Pending,,Email
303,CM000304,C02482,2025-02-15,CHARGES DISPUTE,High,Open,,Social Media
304,CM000305,C01400,2024-09-21,CHARGES DISPUTE,Low,Closed,5.0,App
305,CM000306,C01419,2025-06-05,CARD ISSUE,Low,Pending,,Branch
306,CM000307,C01932,2026-06-01,FRAUD COMPLAIN,High,Pending,,Call Center
307,CM000308,C03082,2025-02-28,TRANSACTION DISPUTE,Low,Escalated,,Branch
308,CM000309,C04295,2025-04-10,CARD ISSUE,Low,Escalated,,Branch
309,CM000310,C03386,2026-04-09,FRAUD COMPLAINT,Critical,Closed,10.0,Branch
310,CM000311,C00500,2025-12-12,KYC UPDATE,Low,Open,,Social Media
311,CM000312,C01245,2024-11-21,KYC UPDATE,Low,Open,,Email
312,CM000313,C03558,2025-07-18,KYC UPDATE,Medium,Open,,App
313,CM000314,C01498,2024-02-10,CHARGES DISPUTE,Critical,Pending,,Social Media
314,CM000315,C04791,2026-04-20,ACCOUNT SERVICE,Low,Escalated,,Email
315,CM000316,C04166,2025-12-14,TRANSACTION DISPUTE,High,Pending,,Call Center
316,CM000317,C00128,2025-10-13,LOAN QUERY,High,Escalated,,Call Center
317,CM000318,C01613,2025-11-27,KYC UPDATE,High,Escalated,,Social Media
318,CM000319,C03328,2024-12-23,CARD ISSUE,Low,Pending,,App
319,CM000320,C00784,2026-05-13,CHARGES DISPUTE,Medium,Closed,10.0,Call Center
320,CM000321,C03282,2025-07-06,TRANSACTION DISPUTE,Medium,Open,,Social Media
321,CM000322,C00940,2024-07-16,LOAN QUERY,High,Open,,Social Media
322,CM000323,C00569,2024-02-17,LOAN QUERY,Medium,Closed,1.0,Email
323,CM000324,C01021,2025-06-22,ACCOUNT SERVICE,Medium,Open,,Branch
324,CM000325,C01161,2026-04-10,ACCOUNT SERVICE,Medium,Pending,,Social Media
325,CM000326,C01979,2025-10-12,FRAUD COMPLAINT,Medium,Escalated,,Call Center
326,CM000327,C00755,2025-04-01,TRANSACTION DISPUTE,Medium,Closed,30.0,App
327,CM000328,C04967,2025-09-17,KYC UPDATE,Low,Pending,,Call Center
