,Account_ID,Customer_ID,Account_Type,Open_Date,Balance,Account_Status,Branch_ID,Opening_Channel
42,A000043,C00036,SAVINGS,2022-03-11,7490.72,ACTIVE,BR017,ONLINE
43,A000044,C00037,SAVINGS,2021-11-21,4414.63,CLOSED,BR016,AGENT
44,A000045,C00038,SALARY,2022-04-04,3564.25,CLOSED,BR005,BRANCH
45,A000046,C00039,CURRENT,2018-05-19,10222.41,CLOSED,BR022,ONLINE
46,A000047,C00039,FIXED DEPOSIT,2020-09-01,19053.47,ACTIVE,BR022,ONLINE
47,A000048,C00039,SALARY,2020-04-04,58347.91,CLOSED,BR022,AGENT
48,A000049,C00040,FIXED DEPOSIT,2021-02-03,62463.18,DORMANT,BR028,BRANCH
49,A000050,C00041,FIXED DEPOSIT,2025-04-23,163809.26,ACTIVE,BR014,ONLINE
50,A000051,C00042,FIXED DEPOSIT,2017-03-27,133419.72,ACTIVE,BR008,BRANCH
51,A000052,C00043,FIXED DEPOSIT,2022-01-02,10000.0,CLOSED,BR017,AGENT
52,A000053,C00044,SAVINGS,2018-12-17,3881.91,ACTIVE,BR025,BRANCH
53,A000054,C00044,SAVINGS,2022-07-25,2763.06,CLOSED,BR025,BRANCH
54,A000055,C00045,SALARY,2017-12-01,25665.29,ACTIVE,BR006,ONLINE
55,A000056,C00046,SALARY,2022-05-25,20192.95,ACTIVE,BR014,AGENT
56,A000057,C00047,FIXED DEPOSIT,2017-02-26,33211.11,DORMANT,BR026,ONLINE
57,A000058,C00048,SAVINGS,2017-06-30,8302.19,ACTIVE,BR014,ONLINE
58,A000059,C00048,CURRENT,2019-10-08,33605.18,CLOSED,BR014,ONLINE
59,A000060,C00049,CURRENT,2019-10-29,46028.44,ACTIVE,BR024,AGENT
60,A000061,C00050,SAVINGS,2026-04-02,11541.64,CLOSED,BR019,ONLINE
61,A000062,C00051,SAVINGS,2024-07-16,108982.22,CLOSED,BR028,ONLINE
62,A000063,C00051,FIXED DEPOSIT,2020-01-21,40272.27,DORMANT,BR028,AGENT
63,A000064,C00052,CURRENT,2023-08-26,10651.58,DORMANT,BR011,ONLINE
64,A000065,C00053,FIXED DEPOSIT,2023-07-22,29254.35,ACTIVE,BR006,BRANCH
65,A000066,C00054,CURRENT,2026-03-09,40075.66,ACTIVE,BR020,AGENT
66,A000067,C00055,CURRENT,2025-01-13,21267.34,ACTIVE,BR012,AGENT
67,A000068,C00056,FIXED DEPOSIT,2021-10-15,39488.48,ACTIVE,BR009,BRANCH
68,A000069,C00057,SALARY,2018-06-09,33021.1,ACTIVE,BR022,BRANCH
69,A000070,C00058,CURRENT,2023-02-23,15104.86,DORMANT,BR012,AGENT
70,A000071,C00059,FIXED DEPOSIT,2020-07-21,30647.16,CLOSED,BR003,AGENT
71,A000072,C00059,FIXED DEPOSIT,2021-03-13,22933.84,DORMANT,BR003,AGENT
72,A000073,C00060,SALARY,2026-05-07,163251.14,CLOSED,BR029,ONLINE
73,A000074,C00061,CURRENT,2022-03-28,27263.71,ACTIVE,BR013,BRANCH
74,A000075,C00062,FIXED DEPOSIT,2017-02-03,37902.61,ACTIVE,BR008,AGENT
75,A000076,C00062,FIXED DEPOSIT,2021-12-31,25721.03,ACTIVE,BR008,ONLINE
76,A000077,C00063,FIXED DEPOSIT,2020-12-29,33734.49,DORMANT,BR002,ONLINE
77,A000078,C00064,CURRENT,2025-08-04,-5000.0,DORMANT,BR018,ONLINE
78,A000079,C00064,SALARY,2025-12-27,12329.7,DORMANT,BR018,ONLINE
79,A000080,C00065,FIXED DEPOSIT,2026-01-08,148314.49,DORMANT,BR003,ONLINE
80,A000081,C00066,SALARY,2017-04-26,30026.22,DORMANT,BR016,ONLINE
81,A000082,C00067,SAVINGS,2020-04-23,3877.07,DORMANT,BR013,BRANCH
82,A000083,C00068,FIXED DEPOSIT,2023-05-02,27622.44,ACTIVE,BR015,AGENT
83,A000084,C00069,SALARY,2022-09-15,47103.46,CLOSED,BR005,ONLINE
84,A000085,C00069,CURRENT,2023-09-30,17111.72,CLOSED,BR005,ONLINE
85,A000086,C00069,SALARY,2019-04-04,54545.99,ACTIVE,BR005,ONLINE
86,A000087,C00070,SALARY,2026-01-05,8733.37,CLOSED,BR007,ONLINE
87,A000088,C00071,SALARY,2024-10-29,9116.48,ACTIVE,BR030,BRANCH
88,A000089,C00072,SAVINGS,2024-06-22,40212.59,ACTIVE,BR024,ONLINE
89,A000090,C00073,SAVINGS,2026-03-16,35442.57,ACTIVE,BR022,BRANCH
90,A000091,C00073,CURRENT,2023-02-21,33669.25,ACTIVE,BR022,ONLINE
91,A000092,C00074,SAVINGS,2021-11-08,3955.06,ACTIVE,BR010,BRANCH
92,A000093,C00075,SALARY,2021-06-13,7319.91,ACTIVE,BR018,AGENT
93,A000094,C00076,SAVINGS,2019-04-05,34588.33,ACTIVE,BR010,ONLINE
94,A000095,C00076,SALARY,2019-01-02,3743.49,DORMANT,BR010,ONLINE
95,A000096,C00077,FIXED DEPOSIT,2025-12-08,64142.56,DORMANT,BR028,ONLINE
96,A000097,C00077,SALARY,2019-02-20,9279.09,ACTIVE,BR028,ONLINE
97,A000098,C00078,SALARY,2017-09-07,23228.39,DORMANT,BR006,ONLINE
98,A000099,C00079,SALARY,2025-06-26,9795.09,ACTIVE,BR005,BRANCH
99,A000100,C00080,CURRENT,2022-03-04,21854.62,CLOSED,BR028,ONLINE
100,A000101,C00080,SAVINGS,2025-06-09,29864.64,ACTIVE,BR028,AGENT
101,A000102,C00081,SALARY,2026-10-05,103087.1,ACTIVE,BR002,ONLINE
102,A000103,C00082,SAVINGS,2018-05-17,35996.0,DORMANT,BR014,BRANCH
103,A000104,C00082,FIXED DEPOSIT,2018-07-19,48954.74,CLOSED,BR014,AGENT
104,A000105,C00083,FIXED DEPOSIT,2025-07-06,165176.21,DORMANT,BR022,ONLINE
105,A000106,C00084,SAVINGS,2025-08-17,26392.06,CLOSED,BR017,AGENT
106,A000107,C00084,CURRENT,2025-08-21,15123.48,ACTIVE,BR017,BRANCH
107,A000108,C00085,SALARY,2021-03-18,99195.21,DORMANT,BR022,BRANCH
108,A000109,C00085,CURRENT,2018-10-24,1577.22,ACTIVE,BR022,BRANCH
109,A000110,C00086,SAVINGS,2018-05-30,34540.98,DORMANT,BR010,BRANCH
110,A000111,C00086,SALARY,2020-03-29,12141.63,CLOSED,BR010,ONLINE
111,A000112,C00087,FIXED DEPOSIT,2018-11-17,24892.93,DORMANT,BR007,AGENT
112,A000113,C00087,SALARY,2026-10-01,21231.48,ACTIVE,BR007,BRANCH
113,A000114,C00088,SALARY,2018-10-29,52128.08,DORMANT,BR017,AGENT
114,A000115,C00089,SALARY,2025-09-03,32426.29,DORMANT,BR023,ONLINE
115,A000116,C00090,SAVINGS,2018-01-18,167923.11,CLOSED,BR014,ONLINE
116,A000117,C00090,CURRENT,2018-03-25,9294.18,ACTIVE,BR014,ONLINE
117,A000118,C00090,CURRENT,2026-01-01,35580.13,CLOSED,BR014,AGENT
118,A000119,C00091,SALARY,2024-11-09,71569.17,DORMANT,BR023,BRANCH
119,A000120,C00092,SAVINGS,2025-12-17,18465.07,ACTIVE,BR001,ONLINE
120,A000121,C00093,FIXED DEPOSIT,2026-04-01,419784.63,DORMANT,BR002,AGENT
121,A000122,C00094,SALARY,2020-08-05,35059.71,DORMANT,BR002,ONLINE
122,A000123,C00095,SAVINGS,2020-12-10,2397.74,DORMANT,BR029,ONLINE
123,A000124,C00096,FIXED DEPOSIT,2020-09-10,10000.0,DORMANT,BR004,AGENT
124,A000125,C00097,FIXED DEPOSIT,2024-10-24,15644.42,ACTIVE,BR022,BRANCH
125,A000126,C00097,SAVINGS,2023-10-15,78744.53,ACTIVE,BR022,BRANCH
126,A000127,C00097,CURRENT,2022-08-29,21159.18,ACTIVE,BR022,AGENT
127,A000128,C00098,CURRENT,2022-08-10,13296.82,ACTIVE,BR020,BRANCH
128,A000129,C00099,CURRENT,2022-08-10,3807.26,CLOSED,BR030,AGENT
129,A000130,C00100,SALARY,2017-09-18,5611.22,DORMANT,BR011,ONLINE
130,A000131,C00101,CURRENT,2023-11-29,58842.88,CLOSED,BR005,ONLINE
131,A000132,C00102,SALARY,2024-09-26,215883.59,ACTIVE,BR014,BRANCH
132,A000133,C00103,SAVINGS,2026-05-03,16725.9,ACTIVE,BR028,AGENT
133,A000134,C00104,SALARY,2025-04-05,44740.21,ACTIVE,BR005,AGENT
134,A000135,C00104,SALARY,2021-01-24,13779.44,DORMANT,BR005,BRANCH
135,A000136,C00105,SAVINGS,2025-11-09,10126.83,CLOSED,BR025,BRANCH
136,A000137,C00106,FIXED DEPOSIT,2023-05-20,74716.94,ACTIVE,BR023,AGENT
137,A000138,C00107,SALARY,2018-12-08,3399.29,ACTIVE,BR011,AGENT
138,A000139,C00108,CURRENT,2023-02-16,16283.88,ACTIVE,BR011,BRANCH
139,A000140,C00108,FIXED DEPOSIT,2017-07-04,38378.46,DORMANT,BR011,BRANCH
140,A000141,C00109,SAVINGS,2023-11-22,62215.4,ACTIVE,BR020,AGENT
141,A000142,C00110,CURRENT,2023-04-12,91134.47,DORMANT,BR018,ONLINE
142,A000143,C00111,SAVINGS,2018-07-24,3681.26,ACTIVE,BR005,BRANCH
143,A000144,C00112,SAVINGS,2025-02-03,48591.63,ACTIVE,BR006,AGENT
144,A000145,C00113,CURRENT,2019-11-18,378808.44,ACTIVE,BR010,BRANCH
145,A000146,C00113,FIXED DEPOSIT,2023-12-22,82505.38,ACTIVE,BR010,ONLINE
146,A000147,C00113,SAVINGS,2020-08-10,35566.42,CLOSED,BR010,ONLINE
147,A000148,C00114,CURRENT,2021-03-24,21493.03,ACTIVE,BR002,BRANCH
148,A000149,C00115,FIXED DEPOSIT,2019-01-17,145063.52,ACTIVE,BR011,AGENT
149,A000150,C00116,CURRENT,2017-02-15,350689.54,DORMANT,BR018,AGENT
150,A000151,C00116,SALARY,2018-04-05,47438.26,ACTIVE,BR018,BRANCH
151,A000152,C00117,FIXED DEPOSIT,2024-06-01,71525.9,CLOSED,BR012,AGENT
152,A000153,C00118,SAVINGS,2024-09-29,1872.13,CLOSED,BR004,AGENT
153,A000154,C00119,FIXED DEPOSIT,2019-07-04,27595.5,ACTIVE,BR006,AGENT
154,A000155,C00120,FIXED DEPOSIT,2024-02-28,25342.3,DORMANT,BR029,ONLINE
155,A000156,C00120,FIXED DEPOSIT,2024-10-06,52176.68,DORMANT,BR029,BRANCH
156,A000157,C00120,CURRENT,2019-12-25,2036.62,CLOSED,BR029,AGENT
157,A000158,C00121,CURRENT,2018-04-14,0.0,CLOSED,BR017,ONLINE
158,A000159,C00122,SAVINGS,2017-07-22,53822.65,DORMANT,BR021,BRANCH
159,A000160,C00123,CURRENT,2018-01-18,21055.44,DORMANT,BR010,ONLINE
160,A000161,C00124,SAVINGS,2017-05-01,25840.13,ACTIVE,BR008,AGENT
161,A000162,C00125,CURRENT,2024-08-02,5806.55,ACTIVE,BR015,AGENT
162,A000163,C00126,FIXED DEPOSIT,2022-11-07,16955.14,ACTIVE,BR003,AGENT
163,A000164,C00127,CURRENT,2022-10-05,30534.46,ACTIVE,BR003,AGENT
164,A000165,C00128,CURRENT,2020-10-17,49374.22,CLOSED,BR028,BRANCH
165,A000166,C00129,SAVINGS,2022-07-01,56594.52,ACTIVE,BR014,ONLINE
166,A000167,C00130,SAVINGS,2023-04-27,66570.47,ACTIVE,BR004,ONLINE
167,A000168,C00131,SALARY,2022-08-08,44709.63,ACTIVE,BR019,AGENT
168,A000169,C00132,CURRENT,2023-12-17,117876.76,CLOSED,BR021,AGENT
169,A000170,C00133,SALARY,2024-08-03,19990.46,ACTIVE,BR014,ONLINE
170,A000171,C00133,SAVINGS,2023-07-20,287092.47,ACTIVE,BR014,AGENT
171,A000172,C00134,SAVINGS,2022-12-09,61572.17,ACTIVE,BR022,ONLINE
172,A000173,C00135,CURRENT,2020-01-21,315458.46,ACTIVE,BR008,AGENT
173,A000174,C00136,FIXED DEPOSIT,2020-11-11,38040.74,ACTIVE,BR004,ONLINE
174,A000175,C00136,FIXED DEPOSIT,2020-12-01,37437.91,DORMANT,BR004,AGENT
175,A000176,C00137,FIXED DEPOSIT,2022-07-16,154343.51,ACTIVE,BR011,BRANCH
176,A000177,C00138,FIXED DEPOSIT,2024-06-04,139206.61,ACTIVE,BR018,BRANCH
177,A000178,C00139,CURRENT,2024-10-10,4140.47,DORMANT,BR015,ONLINE
178,A000179,C00140,FIXED DEPOSIT,2020-10-05,66454.42,ACTIVE,BR014,BRANCH
179,A000180,C00141,SAVINGS,2018-06-14,20946.89,CLOSED,BR008,BRANCH
180,A000181,C00141,CURRENT,2024-05-07,18417.06,ACTIVE,BR008,AGENT
181,A000182,C00142,CURRENT,2017-07-14,50693.23,ACTIVE,BR028,AGENT
182,A000183,C00142,CURRENT,2020-03-06,91208.29,ACTIVE,BR028,BRANCH
183,A000184,C00143,SALARY,2018-04-07,8957.99,ACTIVE,BR007,ONLINE
184,A000185,C00144,SALARY,2020-10-31,10605.64,DORMANT,BR003,ONLINE
185,A000186,C00144,CURRENT,2019-08-17,36717.06,DORMANT,BR003,AGENT
186,A000187,C00145,SAVINGS,2018-01-18,96655.87,DORMANT,BR018,ONLINE
187,A000188,C00146,FIXED DEPOSIT,2024-10-14,66199.8,CLOSED,BR024,ONLINE
188,A000189,C00147,SALARY,2024-01-26,6187.54,ACTIVE,BR001,ONLINE
189,A000190,C00147,CURRENT,2017-04-30,13711.18,ACTIVE,BR001,BRANCH
190,A000191,C00148,FIXED DEPOSIT,2022-08-20,41519.45,CLOSED,BR005,AGENT
191,A000192,C00149,SALARY,2017-01-10,17454.73,ACTIVE,BR007,ONLINE
192,A000193,C00150,SAVINGS,2023-07-09,27187.53,ACTIVE,BR007,BRANCH
193,A000194,C00151,FIXED DEPOSIT,2018-11-30,74306.18,DORMANT,BR022,AGENT
194,A000195,C00152,CURRENT,2019-05-12,3787.22,DORMANT,BR022,AGENT
195,A000196,C00153,FIXED DEPOSIT,2020-05-02,44952.66,ACTIVE,BR021,ONLINE
196,A000197,C00153,SAVINGS,2025-11-05,100089.52,ACTIVE,BR021,ONLINE
197,A000198,C00154,SAVINGS,2020-10-08,20526.75,DORMANT,BR024,AGENT
198,A000199,C00155,CURRENT,2024-04-07,52982.26,CLOSED,BR030,BRANCH
199,A000200,C00155,SALARY,2018-05-29,26108.95,ACTIVE,BR030,BRANCH
200,A000201,C00155,SALARY,2020-01-07,4884.59,DORMANT,BR030,AGENT
201,A000202,C00156,SALARY,2025-11-07,60293.73,DORMANT,BR023,BRANCH
202,A000203,C00157,CURRENT,2017-03-04,72275.86,CLOSED,BR021,ONLINE
203,A000204,C00158,FIXED DEPOSIT,2026-04-06,61430.5,ACTIVE,BR007,BRANCH
204,A000205,C00158,SAVINGS,2018-04-06,15058.16,ACTIVE,BR007,ONLINE
205,A000206,C00158,FIXED DEPOSIT,2025-04-07,20713.54,ACTIVE,BR007,BRANCH
206,A000207,C00159,SAVINGS,2024-12-23,5957.83,CLOSED,BR003,AGENT
207,A000208,C00160,SAVINGS,2025-08-12,32967.33,ACTIVE,BR018,BRANCH
208,A000209,C00161,CURRENT,2019-04-11,39573.26,ACTIVE,BR017,ONLINE
209,A000210,C00161,SALARY,2018-06-02,26314.35,CLOSED,BR017,AGENT
210,A000211,C00161,FIXED DEPOSIT,2024-12-24,36483.89,ACTIVE,BR017,ONLINE
211,A000212,C00162,FIXED DEPOSIT,2024-02-07,44903.76,CLOSED,BR025,BRANCH
212,A000213,C00163,CURRENT,2024-07-19,32543.96,ACTIVE,BR024,BRANCH
213,A000214,C00163,FIXED DEPOSIT,2019-02-04,201526.95,CLOSED,BR024,AGENT
214,A000215,C00164,SALARY,2017-09-01,515288.1,DORMANT,BR021,BRANCH
215,A000216,C00165,FIXED DEPOSIT,2019-03-01,18766.87,CLOSED,BR022,ONLINE
216,A000217,C00166,FIXED DEPOSIT,2021-07-31,87774.19,DORMANT,BR013,ONLINE
217,A000218,C00167,CURRENT,2022-02-26,4022.38,DORMANT,BR018,AGENT
218,A000219,C00168,FIXED DEPOSIT,2024-03-27,58391.24,CLOSED,BR026,AGENT
219,A000220,C00168,SALARY,2019-10-22,119976.44,DORMANT,BR026,AGENT
220,A000221,C00169,SAVINGS,2021-02-14,6071.83,ACTIVE,BR009,BRANCH
221,A000222,C00170,FIXED DEPOSIT,2023-02-20,36987.61,ACTIVE,BR008,AGENT
222,A000223,C00171,FIXED DEPOSIT,2019-06-01,33633.87,ACTIVE,BR013,ONLINE
223,A000224,C00172,CURRENT,2023-01-02,46508.63,CLOSED,BR007,ONLINE
224,A000225,C00172,CURRENT,2024-10-12,2488.13,DORMANT,BR007,BRANCH
225,A000226,C00173,SALARY,2018-09-16,10825.14,ACTIVE,BR010,ONLINE
226,A000227,C00174,SAVINGS,2021-12-04,32337.34,ACTIVE,BR003,AGENT
227,A000228,C00175,SAVINGS,2022-08-21,14198.1,DORMANT,BR030,AGENT
228,A000229,C00176,SALARY,2026-06-01,6479.17,ACTIVE,BR007,ONLINE
229,A000230,C00176,FIXED DEPOSIT,2021-08-11,51362.63,CLOSED,BR007,BRANCH
230,A000231,C00177,SAVINGS,2020-08-25,4782.91,CLOSED,BR002,BRANCH
231,A000232,C00177,FIXED DEPOSIT,2023-01-12,58156.13,DORMANT,BR002,BRANCH
232,A000233,C00178,SALARY,2019-05-30,113746.42,CLOSED,BR029,AGENT
233,A000234,C00179,SAVINGS,2021-08-05,63971.35,ACTIVE,BR004,AGENT
234,A000235,C00180,SALARY,2021-08-09,33907.63,ACTIVE,BR026,BRANCH
235,A000236,C00180,FIXED DEPOSIT,2019-07-26,15959.09,DORMANT,BR026,AGENT
236,A000237,C00181,SAVINGS,2022-12-28,6373.95,CLOSED,BR003,BRANCH
237,A000238,C00182,CURRENT,2022-02-10,3738.52,DORMANT,BR025,AGENT
238,A000239,C00182,CURRENT,2019-08-30,1832.53,CLOSED,BR025,BRANCH
239,A000240,C00183,FIXED DEPOSIT,2022-07-13,225866.42,ACTIVE,BR008,BRANCH
240,A000241,C00184,FIXED DEPOSIT,2023-09-07,49321.43,CLOSED,BR013,AGENT
241,A000242,C00185,SALARY,2022-03-01,14067.59,ACTIVE,BR005,BRANCH
242,A000243,C00186,SALARY,2025-05-17,136319.72,ACTIVE,BR006,BRANCH
243,A000244,C00187,SALARY,2023-11-20,34833.3,DORMANT,BR013,AGENT
244,A000245,C00188,FIXED DEPOSIT,2020-02-03,24257.42,DORMANT,BR021,AGENT
245,A000246,C00189,SAVINGS,2017-02-12,35892.32,ACTIVE,BR027,AGENT
246,A000247,C00190,FIXED DEPOSIT,2023-12-05,66946.24,CLOSED,BR010,ONLINE
247,A000248,C00191,CURRENT,2026-04-03,94452.02,CLOSED,BR026,AGENT
248,A000249,C00192,SAVINGS,2022-04-19,32366.72,ACTIVE,BR012,AGENT
249,A000250,C00193,CURRENT,2019-01-30,144858.44,DORMANT,BR011,AGENT
250,A000251,C00194,SAVINGS,2023-05-05,21806.75,CLOSED,BR008,BRANCH
251,A000252,C00194,SALARY,2025-03-14,25140.7,CLOSED,BR008,ONLINE
252,A000253,C00194,FIXED DEPOSIT,2017-07-05,235812.28,CLOSED,BR008,AGENT
253,A000254,C00195,SALARY,2018-06-03,8929.22,ACTIVE,BR004,BRANCH
254,A000255,C00196,CURRENT,2025-03-17,31001.29,CLOSED,BR023,AGENT
255,A000256,C00197,SAVINGS,2026-02-22,13338.54,CLOSED,BR011,ONLINE
256,A000257,C00197,SALARY,2022-05-29,53794.67,ACTIVE,BR011,ONLINE
257,A000258,C00198,SALARY,2019-11-18,39392.3,ACTIVE,BR001,AGENT
258,A000259,C00199,SAVINGS,2019-12-29,314744.86,CLOSED,BR004,BRANCH
259,A000260,C00200,SAVINGS,2020-02-17,78055.44,DORMANT,BR024,AGENT
260,A000261,C00201,CURRENT,2025-09-16,38076.62,CLOSED,BR023,ONLINE
261,A000262,C00202,FIXED DEPOSIT,2020-09-13,33186.72,DORMANT,BR022,AGENT
262,A000263,C00203,SAVINGS,2017-05-25,55058.24,DORMANT,BR003,BRANCH
263,A000264,C00203,SAVINGS,2019-12-29,25407.79,ACTIVE,BR003,AGENT
264,A000265,C00204,SAVINGS,2020-06-12,42816.29,ACTIVE,BR004,BRANCH
265,A000266,C00205,CURRENT,2020-03-14,7504.11,DORMANT,BR028,ONLINE
266,A000267,C00206,SALARY,2021-08-11,2782.47,DORMANT,BR014,BRANCH
267,A000268,C00207,SAVINGS,2018-02-03,7359.85,CLOSED,BR019,ONLINE
268,A000269,C00207,CURRENT,2021-11-24,167036.85,DORMANT,BR019,BRANCH
269,A000270,C00208,FIXED DEPOSIT,2022-12-16,98645.49,ACTIVE,BR014,BRANCH
270,A000271,C00209,SALARY,2021-09-02,14728.91,DORMANT,BR009,ONLINE
271,A000272,C00210,SAVINGS,2018-05-11,21872.04,ACTIVE,BR024,ONLINE
272,A000273,C00210,SAVINGS,2021-03-18,8818.09,ACTIVE,BR024,ONLINE
273,A000274,C00211,SAVINGS,2020-05-09,37244.96,CLOSED,BR005,BRANCH
274,A000275,C00211,SALARY,2022-02-22,18305.19,ACTIVE,BR005,BRANCH
275,A000276,C00212,SAVINGS,2020-11-27,7387.37,ACTIVE,BR030,AGENT
276,A000277,C00213,SALARY,2025-08-15,44087.99,ACTIVE,BR028,ONLINE
277,A000278,C00214,CURRENT,2023-01-18,90171.5,ACTIVE,BR009,BRANCH
278,A000279,C00215,CURRENT,2022-05-27,15478.79,ACTIVE,BR027,ONLINE
279,A000280,C00216,FIXED DEPOSIT,2018-09-01,102427.93,DORMANT,BR007,ONLINE
280,A000281,C00216,CURRENT,2021-08-28,60182.55,ACTIVE,BR007,ONLINE
281,A000282,C00216,SAVINGS,2021-02-05,86759.6,CLOSED,BR007,ONLINE
282,A000283,C00217,FIXED DEPOSIT,2020-10-16,48299.83,ACTIVE,BR027,AGENT
283,A000284,C00218,SAVINGS,2018-03-19,35410.81,DORMANT,BR024,BRANCH
284,A000285,C00219,SAVINGS,2023-01-11,17628.9,ACTIVE,BR002,BRANCH
285,A000286,C00220,FIXED DEPOSIT,2018-11-13,67825.03,ACTIVE,BR029,AGENT
286,A000287,C00221,SAVINGS,2020-01-08,15328.3,DORMANT,BR025,ONLINE
287,A000288,C00222,SAVINGS,2018-10-30,25741.04,CLOSED,BR001,ONLINE
288,A000289,C00223,SAVINGS,2020-06-08,22743.29,CLOSED,BR017,AGENT
289,A000290,C00224,CURRENT,2022-05-19,4360.58,DORMANT,BR017,AGENT
290,A000291,C00225,FIXED DEPOSIT,2021-07-24,34983.93,CLOSED,BR004,AGENT
291,A000292,C00226,SALARY,2018-02-16,8203.95,ACTIVE,BR004,AGENT
292,A000293,C00227,CURRENT,2023-07-25,1991.62,CLOSED,BR030,AGENT
293,A000294,C00228,SAVINGS,2021-01-18,58285.66,CLOSED,BR009,ONLINE
294,A000295,C00229,SALARY,2017-09-10,16276.27,ACTIVE,BR029,AGENT
295,A000296,C00230,FIXED DEPOSIT,2020-02-10,121881.89,ACTIVE,BR024,BRANCH
296,A000297,C00231,CURRENT,2019-03-25,84086.27,DORMANT,BR002,BRANCH
297,A000298,C00232,SALARY,2018-06-16,55389.68,CLOSED,BR024,ONLINE
298,A000299,C00233,SAVINGS,2024-06-12,84606.45,DORMANT,BR009,BRANCH
299,A000300,C00234,CURRENT,2021-05-08,17917.62,ACTIVE,BR004,ONLINE
300,A000301,C00234,CURRENT,2025-03-29,11782.64,ACTIVE,BR004,AGENT
301,A000302,C00235,SAVINGS,2025-06-12,86393.65,ACTIVE,BR008,BRANCH
302,A000303,C00236,SALARY,2017-10-09,203826.45,DORMANT,BR017,BRANCH
303,A000304,C00236,FIXED DEPOSIT,2023-10-05,37560.55,ACTIVE,BR017,BRANCH
